Sample	AL590842_cov	AL117189_cov	AL117211_cov	AL109969_cov	pla_cov	AL590842_dep	AL117189_dep	AL117211_dep	AL109969_dep	pla_dep
GCA_001294815.1_ASM129481v1_genomic	0.9297541	0.9333760	0.9382496	0.0000000	0.0000000		18.3131199	18.0262146	18.4642029	0.0000000	0.0000000
GCA_001294825.1_ASM129482v1_genomic	0.9219409	0.9277861	0.9354121	0.0000000	0.0000000		18.1616116	17.8499260	18.3990440	0.0000000	0.0000000
GCA_000950945.1_ASM95094v1_genomic	0.9440223	0.9091814	0.9383121	0.7958801	1.0000000		18.5312462	17.3763752	18.5623112	15.4987516	20.0000000
GCA_003122795.1_Y.pestis_I-2422_genomic	0.9412299	0.8714032	0.9386758	0.5926966	0.9402985		18.4364872	16.2071400	18.5023174	5.8611112	12.8710022
GCA_002981995.1_ASM298199v1_genomic	0.9530110	0.9573288	0.9442054	0.8099251	1.0000000		18.8060150	18.6913300	18.6726646	15.9141693	20.0000000
GCA_002981925.1_ASM298192v1_genomic	0.9547146	0.0117915	0.9422513	0.8099251	1.0000000		18.8427391	0.1706849	18.5893459	15.8130465	20.0000000
GCA_002981915.1_ASM298191v1_genomic	0.9533602	0.9481260	0.9441534	0.8099251	1.0000000		18.8196278	18.4752865	18.6718006	15.9079275	20.0000000
GCA_002981955.1_ASM298195v1_genomic	0.9537902	0.0117915	0.9416900	0.8099251	1.0000000		18.8284073	0.1706849	18.5781517	15.8130465	20.0000000
GCA_002981895.1_ASM298189v1_genomic	0.9532418	0.9508570	0.0000000	0.8099251	1.0000000		18.8124542	18.5362911	0.0000000	15.8130465	20.0000000
GCA_001295105.1_ASM129510v1_genomic	0.9285304	0.9379418	0.9382704	0.0000000	0.0000000		18.2761269	18.1838837	18.5142498	0.0000000	0.0000000
GCA_003074535.1_ASM307453v1_genomic	0.9265342	0.9324230	0.9386135	0.7976488	1.0000000		18.2862682	18.1469173	18.4546299	15.5045776	20.0000000
GCA_003074595.1_ASM307459v1_genomic	0.9263493	0.9357798	0.9385407	0.7968165	1.0000000		18.2789879	18.2553444	18.4556179	15.5064507	20.0000000
GCA_003074335.1_ASM307433v1_genomic	0.9416943	0.9254676	0.9386654	0.6934041	0.8059701		18.5748882	18.0293427	18.5769043	9.8863916	6.9296374
GCA_003074255.1_ASM307425v1_genomic	0.9429034	0.9106607	0.9383952	0.5891594	1.0000000		18.5905724	17.4591999	18.5289688	7.1225553	17.9275055
GCA_003074175.1_ASM307417v1_genomic	0.9386494	0.9223810	0.9277622	0.7214940	1.0000000		18.4121437	17.7423077	18.0576344	8.7846441	8.7249470
GCA_002993145.1_ASM299314v1_genomic	0.9299108	0.9335040	0.9384471	0.0000000	0.0000000		18.3209362	18.0905056	18.5162868	0.0000000	0.0000000
GCA_002529545.1_ASM252954v1_genomic	0.9292176	0.7120404	0.9457333	0.8099251	1.0000000		18.3626614	11.9164925	18.7144165	16.0114441	20.0000000
GCA_002005285.1_ASM200528v1_genomic	0.9643508	0.9613114	0.9544746	0.8194965	1.0000000		19.0942097	18.7326355	18.7907295	16.0787563	20.0000000
GCA_003074435.1_ASM307443v1_genomic	0.9288190	0.9402319	0.9384056	0.0000000	0.0000000		18.2848797	18.1352959	18.5181999	0.0000000	0.0000000
GCA_003074415.1_ASM307441v1_genomic	0.9303253	0.9379418	0.9364827	0.0000000	0.0000000		18.3190155	18.1171188	18.4329700	0.0000000	0.0000000
GCA_003074395.1_ASM307439v1_genomic	0.9297035	0.9194083	0.9386238	0.0000000	0.0000000		18.2840042	17.7997589	18.3807201	0.0000000	0.0000000
GCA_003074375.1_ASM307437v1_genomic	0.9420387	0.9292938	0.9384991	0.7653974	0.9989339		18.5806656	17.6598816	18.5729141	11.7593632	15.4264393
GCA_003074355.1_ASM307435v1_genomic	0.9411979	0.9194652	0.9382601	0.5615897	0.7857143		18.5283375	17.6556435	18.5677471	8.4085522	3.0010662
GCA_003074315.1_ASM307431v1_genomic	0.9469060	0.9100918	0.9386550	0.5130046	0.5863540		18.5782833	17.1450825	18.3195820	5.1864338	5.4477611
GCA_003074295.1_ASM307429v1_genomic	0.9415662	0.9063225	0.9374493	0.6915314	0.8038380		18.4854126	17.0836792	18.3323669	4.9100084	3.9402986
GCA_003074275.1_ASM307427v1_genomic	0.9117817	0.8922125	0.9368985	0.7914066	1.0000000		17.6515903	17.0898647	18.3164215	12.7521849	20.0000000
GCA_003074235.1_ASM307423v1_genomic	0.9208174	0.9157954	0.9385927	0.7025593	0.9978678		18.1012173	17.5024681	18.5779438	10.1819601	11.0031986
GCA_003074215.1_ASM307421v1_genomic	0.9465785	0.9328782	0.9381665	0.7954640	1.0000000		18.6709976	18.3594913	18.5654602	15.0400543	18.2398720
GCA_003074195.1_ASM307419v1_genomic	0.9450578	0.9219543	0.9382081	0.7890137	1.0000000		18.6036167	17.9096642	18.5288849	13.4766960	18.4136467
GCA_003074155.1_ASM307415v1_genomic	0.9462472	0.9228647	0.9380418	0.7441739	0.9296376		18.6427059	17.7227230	18.5627995	12.1788387	14.0085287
GCA_003085995.1_ASM308599v1_genomic	0.9416730	0.9123248	0.9385719	0.2220141	0.4541578		18.5318489	17.2490864	18.4803352	0.9277986	1.7356076
GCA_002412255.1_Y.pestis_A-1836_genomic	0.9465646	0.9319109	0.9383328	0.7632126	1.0000000		18.6374912	18.1328640	18.4997292	12.0452557	18.7185497
GCA_003086015.1_ASM308601v1_genomic	0.9207936	0.8993955	0.9364515	0.6867458	0.7377399		18.0712147	17.2056046	18.5351524	8.2165003	4.3752666
GCA_003085935.1_ASM308593v1_genomic	0.9293687	0.9374866	0.9384991	0.0000000	0.0000000		18.2855511	17.9973125	18.5122757	0.0000000	0.0000000
GCA_003085975.1_ASM308597v1_genomic	0.9265750	0.9223810	0.9383121	0.7545776	0.7228145		18.1809616	17.5327930	18.5207977	11.1959009	4.4530916
GCA_003086055.1_ASM308605v1_genomic	0.9423774	0.9296352	0.9381769	0.5110279	0.8134328		18.5841827	17.6917992	18.5636101	4.4876199	5.0511727
GCA_003085955.1_ASM308595v1_genomic	0.9403764	0.9286680	0.9314312	0.7887016	1.0000000		18.5077515	18.0192738	18.2777042	14.8850393	20.0000000
GCA_003085895.1_ASM308589v1_genomic	0.9358444	0.9039755	0.9311298	0.7882855	1.0000000		18.3649330	17.3634453	18.2346630	13.7871408	19.9989338
GCA_002412245.1_Y.pestis_A-1691_genomic	0.9458028	0.9098784	0.9380522	0.3051394	0.5223880		18.5533733	17.3792057	18.3107471	2.2228465	2.0469084
GCA_002412225.1_Y.pestis_A-1486_genomic	0.9347764	0.8940474	0.9382081	0.3292759	0.0000000		18.2586441	16.9668865	18.5280018	2.8728673	0.0000000
GCA_003085875.1_ASM308587v1_genomic	0.9259146	0.9238319	0.9377716	0.0312110	0.0000000		18.2069855	17.8218193	18.4981079	0.1576155	0.0000000
GCA_002412235.1_Y.pestis_A-1249_genomic	0.9366104	0.9004765	0.9313689	0.2567624	0.0000000		18.3974762	16.9976673	18.2440491	2.5450478	0.0000000
GCA_003085915.1_ASM308591v1_genomic	0.9469941	0.9355949	0.9383328	0.7954640	1.0000000		18.6947613	18.2841911	18.5680275	15.4563046	20.0000000
GCA_002412305.1_Y.pestis_A-1809_genomic	0.9396069	0.9146291	0.9370856	0.5820849	0.8710021		18.4216976	17.2944317	18.3557949	6.1646900	12.4626865
GCA_003086095.1_ASM308609v1_genomic	0.9423587	0.9245288	0.9383744	0.7528090	0.9029851		18.5197754	16.9975395	18.3892212	11.4709740	13.0202560
GCA_003086115.1_ASM308611v1_genomic	0.9388035	0.9103193	0.9379898	0.7549937	1.0000000		18.3763676	17.3351688	18.4681225	13.4810658	19.9989338
GCA_003086075.1_ASM308607v1_genomic	0.9346595	0.9086267	0.9386758	0.3658968	0.2963753		18.0459747	17.3435459	18.4507217	3.1843529	3.2057569
GCA_003086035.1_ASM308603v1_genomic	0.9371463	0.9052984	0.9318366	0.7958801	1.0000000		18.4409065	17.3613834	18.2861977	14.6207867	20.0000000
GCA_001693595.1_ASM169359v1_genomic	0.9458266	0.9631605	0.9545265	0.8192884	1.0000000		18.8901081	18.8206959	18.8686199	15.9176025	20.0000000
GCA_003085855.1_ASM308585v1_genomic	0.9402965	0.9137899	0.9382185	0.3450895	0.2750533		18.5153866	17.4524288	18.5258904	2.4877236	1.0660981
GCA_000835005.1_ASM83500v1_genomic	0.8884709	0.0118199	0.0000000	0.8196005	1.0000000		17.4948654	0.1706849	0.0000000	15.6272364	20.0000000
GCA_000834985.1_ASM83498v1_genomic	0.9393117	0.9593912	0.9332917	0.0000000	0.0000000		18.5301800	18.7737999	18.3454838	0.0000000	0.0000000
GCA_001559935.1_ASM155993v1_genomic	0.9375370	0.9213996	0.9389253	0.5245526	0.8304904		18.3608952	17.6497402	18.4513054	4.4129214	5.3603411
GCA_001509855.1_ASM150985v1_genomic	0.9651406	0.9631463	0.9542875	0.8192884	1.0000000		19.0934067	18.7860031	18.9031601	15.9176025	20.0000000
GCA_001509865.1_ASM150986v1_genomic	0.9663792	0.9631321	0.9542875	0.8193924	1.0000000		19.1243916	18.8235111	18.9031601	16.0038490	20.0000000
GCA_001617815.1_Yersinia_pestis_M-1453_genomic	0.9199775	0.9273025	0.9382601	0.6077819	0.5522388		18.0865974	17.5783367	18.5677166	6.0199752	3.0309169
GCA_001617805.1_Yersinia_pestis_173_genomic	0.9416105	0.9135908	0.9383952	0.2083853	0.0000000		18.5186749	17.1049423	18.4864464	1.0857261	0.0000000
GCA_001617785.1_Yersinia_pestis_M-549_genomic	0.9260563	0.9207880	0.9384264	0.6324386	0.8507463		18.2252216	17.6450462	18.5716133	7.9142737	6.0874200
GCA_001617715.1_Yersinia_pestis_M-519_genomic	0.9409329	0.9206031	0.9379794	0.7827715	1.0000000		18.5443954	17.5878811	18.5185852	14.7749691	19.3667374
GCA_001617735.1_Yersinia_pestis_M-1763_genomic	0.9381595	0.9121115	0.9391124	0.6890345	0.9882729		18.4653187	17.4918289	18.4972763	7.5256972	13.6705761
GCA_001613895.1_ASM161389v1_genomic	0.9413676	0.9292085	0.9385303	0.7800666	0.9989339		18.5630112	17.9773140	18.4872055	12.5364132	15.4584217
GCA_001613885.1_ASM161388v1_genomic	0.9403927	0.9170187	0.9394138	0.6201623	0.6119403		18.4676647	17.4716167	18.5002594	6.1369123	2.0341151
GCA_001613865.1_ASM161386v1_genomic	0.9227142	0.9001067	0.9383952	0.3444653	0.4669510		18.0812588	16.1260090	18.5697231	2.6554308	0.9339019
GCA_001601285.1_ASM160128v1_genomic	0.9435975	0.9102197	0.9214531	0.7549937	0.9616205		18.5975590	17.4935780	18.2261410	10.9737825	14.1695099
GCA_001601735.1_ASM160173v1_genomic	0.9382519	0.8965081	0.9311506	0.4178111	0.6535181		18.3876133	17.0362701	18.0775185	3.4365377	1.9424307
GCA_001601675.1_ASM160167v1_genomic	0.9183218	0.9178864	0.9331047	0.0000000	0.0000000		17.9693623	17.4508648	18.1461277	0.0000000	0.0000000
GCA_001595585.1_ASM159558v1_genomic	0.9396127	0.9209302	0.9384471	0.6130878	0.6865672		18.5080719	17.7349968	18.5734024	6.1163130	9.1300640
GCA_000834925.1_ASM83492v1_genomic	0.9517561	0.9583387	0.9405675	0.7960882	1.0000000		18.7865295	18.8399124	18.4110279	15.6332712	20.0000000
GCA_000834755.1_ASM83475v1_genomic	0.9450383	0.0000000	0.9541731	0.8190803	1.0000000		18.7371216	0.0000000	18.9107685	15.6236992	20.0000000
GCA_000834905.1_ASM83490v1_genomic	0.9669839	0.9633027	0.0000000	0.8191844	1.0000000		19.1619968	18.7420521	0.0000000	16.0720978	20.0000000
GCA_000834235.1_ASM83423v1_genomic	0.9655594	0.9638290	0.9543291	0.8188722	1.0000000		19.1383648	18.7983780	18.8660221	15.6257801	20.0000000
GCA_000834315.1_ASM83431v1_genomic	0.9368227	0.9602020	0.9451408	0.0000000	0.0000000		18.4975090	18.7651939	18.5943775	0.0000000	0.0000000
GCA_000970105.1_ASM97010v1_genomic	0.9549993	0.9601024	0.9496102	0.8182480	1.0000000		18.8848953	18.7972412	18.7376366	16.0634632	20.0000000
GCA_001188735.1_ASM118873v1_genomic	0.9330316	0.9607425	0.9495583	0.7969205	1.0000000		18.4496803	18.8169403	18.6977558	15.6515818	20.0000000
GCA_001188795.1_ASM118879v1_genomic	0.9393884	0.9602304	0.9450681	0.0000000	0.0000000		18.5121803	18.7749519	18.5484982	0.0000000	0.0000000
GCA_001188775.1_ASM118877v1_genomic	0.9385985	0.9594339	0.9451200	0.0000000	0.0000000		18.5196934	18.7631035	18.6352882	0.0000000	0.0000000
GCA_001188755.1_ASM118875v1_genomic	0.9256291	0.9600028	0.9450992	0.0000000	0.0000000		18.2703972	18.7797165	18.6269817	0.0000000	0.0000000
GCA_001188325.1_YPY_1_genomic	0.9381092	0.9480265	0.9448810	0.0000000	0.0000000		18.4918861	18.4459419	18.6307564	0.0000000	0.0000000
GCA_001188335.1_DYA_1_genomic	0.9379545	0.9600028	0.9450889	0.0000000	0.0000000		18.4898815	18.6563549	18.5868416	0.0000000	0.0000000
GCA_001188815.1_ASM118881v1_genomic	0.9330741	0.9607994	0.9497349	0.8189763	1.0000000		18.4394741	18.6475220	18.7403393	15.6412821	20.0000000
GCA_001261975.1_YPW_8_IHQD_genomic	0.9485976	0.9605860	0.9497662	0.7562422	1.0000000		18.7623425	18.8055897	18.7863426	14.3693304	20.0000000
GCA_001261985.1_YPW_3_IHQD_genomic	0.9426868	0.9641277	0.9543187	0.7559301	1.0000000		18.6491528	18.9169903	19.2512417	19.7773609	20.1130066
GCA_001188935.1_ASM118893v1_genomic	0.9389883	0.9594197	0.9450992	0.0000000	0.0000000		18.5198116	18.7627621	18.6269817	0.0000000	0.0000000
GCA_001188715.1_ASM118871v1_genomic	0.9388531	0.9601877	0.9451720	0.0000000	0.0000000		18.5216427	18.7674141	18.6355362	0.0000000	0.0000000
GCA_001188695.1_ASM118869v1_genomic	0.9392618	0.9594908	0.9451616	0.0000000	0.0000000		18.5175953	18.7593632	18.5851364	0.0000000	0.0000000
GCA_000006645.1_ASM664v1_genomic	0.9547389	0.0117630	0.9497973	0.0000000	0.0000000		18.8785877	0.1706422	18.7391014	0.0000000	0.0000000
GCA_000022845.1_ASM2284v1_genomic	0.9325446	0.9603869	0.9495583	0.8196005	1.0000000		18.4428902	18.7904987	18.8283329	15.9228048	20.0000000
GCA_000022825.1_ASM2282v1_genomic	0.9633090	0.9604865	0.9480096	0.8194965	1.0000000		19.0482006	18.7301331	18.7014141	15.9208279	20.0000000
GCA_000022805.1_ASM2280v1_genomic	0.9632961	0.9603869	0.9495791	0.8193924	1.0000000		19.0536385	18.7904835	18.8288746	15.9182272	20.0000000
GCA_000222975.1_ASM22297v1_genomic	0.9450434	0.0000000	0.9542356	0.6955888	1.0000000		18.6891956	0.0000000	18.8631115	13.1757183	20.0000000
GCA_000007885.1_ASM788v1_genomic	0.9497407	0.9603300	0.9370648	0.8196005	1.0000000		18.7412167	18.9301338	18.3415241	15.9227009	20.0000000
GCA_000013825.1_ASM1382v1_genomic	0.9577648	0.9605007	0.9296435	0.8179359	1.0000000		18.8844032	18.8519878	18.3315449	17.8717232	20.0000000
GCA_000475155.2_YP24H_v2_genomic	0.9562967	0.0000000	0.0000000	0.8006659	1.0000000		18.9368153	0.0000000	0.0000000	15.6721802	20.0000000
GCA_000475115.2_YP113_v2_genomic	0.9567824	0.9613114	0.0000000	0.8116937	1.0000000		18.9487934	18.8365269	0.0000000	15.9712858	20.0000000
GCA_000475095.2_YP009_v2_genomic	0.9562488	0.0000000	0.0000000	0.8025385	1.0000000		18.9353600	0.0000000	0.0000000	15.7515602	20.0000000
GCA_000475135.2_YPS03_v2_genomic	0.9554241	0.9606429	0.9391227	0.8100291	1.0000000		18.9202728	18.8362141	18.5507526	15.9286308	20.0000000
GCA_000705315.1_EDB10_058v1_genomic	0.9388093	0.9151412	0.9417005	0.7983770	1.0000000		18.2776260	17.5983639	18.5459728	13.8641281	20.0000000
GCA_000324805.2_EV76-CN_genomic	0.8937402	0.8982149	0.8983682	0.7918227	1.0000000		17.4505901	17.0590858	17.4046364	15.0301704	20.0000000
GCA_000182705.1_ASM18270v1_genomic	0.9334918	0.9607140	0.9485397	0.7678943	1.0000000		18.4490356	18.8660984	18.7156944	12.3330212	20.0000000
GCA_000834885.1_ASM83488v1_genomic	0.9343825	0.9601309	0.9298098	0.8188722	1.0000000		18.4827003	18.8818855	18.3410568	15.6257801	15.5223885
GCA_000269245.1_ASM26924v1_genomic	0.9445142	0.9227509	0.9392163	0.7884936	1.0000000		18.3955822	17.4799938	18.2534142	14.4604664	18.3390198
GCA_000269465.1_ASM26946v1_genomic	0.9499298	0.9240310	0.9356096	0.8022264	1.0000000		18.5889492	17.6723709	18.2378654	15.6895552	20.0000000
GCA_000269165.1_ASM26916v1_genomic	0.9495935	0.9174454	0.9388317	0.8018103	1.0000000		18.5702801	17.5446987	18.3427505	15.6903868	20.0000000
GCA_000268705.1_ASM26870v1_genomic	0.9494184	0.9241448	0.9392371	0.7993134	1.0000000		18.5253525	17.6744194	18.3672695	15.3690176	20.0000000
GCA_000268505.1_ASM26850v1_genomic	0.9503031	0.9254960	0.9389461	0.7977528	1.0000000		18.6044750	17.7001915	18.4043140	15.6317101	20.0000000
GCA_000268645.1_ASM26864v1_genomic	0.9512544	0.9247137	0.9366906	0.8022264	1.0000000		18.6032181	17.6932793	18.2510662	15.3176241	20.0000000
GCA_000268465.1_ASM26846v1_genomic	0.9501550	0.9241021	0.9378755	0.8020183	1.0000000		18.5370693	17.6293011	18.1496525	15.3193922	20.0000000
GCA_000268625.1_ASM26862v1_genomic	0.9511587	0.9235474	0.9366490	0.8022264	1.0000000		18.6146812	17.6012516	18.3055496	15.6895552	20.0000000
GCA_000268605.1_ASM26860v1_genomic	0.9494360	0.9333902	0.9354537	0.8028506	1.0000000		18.4765244	17.7595901	18.1025467	15.7340822	20.0000000
GCA_000268445.1_ASM26844v1_genomic	0.9498492	0.9242728	0.9398295	0.7993134	1.0000000		18.5541725	17.6923981	18.3834419	15.6369123	20.0000000
GCA_000268425.1_ASM26842v1_genomic	0.9502947	0.9251404	0.9362437	0.8026425	1.0000000		18.5502377	17.6533966	18.2482166	15.0589886	20.0000000
GCA_000268405.1_ASM26840v1_genomic	0.9511710	0.9232060	0.9384159	0.8022264	1.0000000		18.5928307	17.6577206	18.3000202	15.0072823	20.0000000
GCA_001188675.1_ASM118867v1_genomic	0.9553638	0.7370173	0.8795239	0.8196005	1.0000000		18.8916130	14.6611338	17.3442993	15.6313982	15.5159912
GCA_000590535.1_EV_NIIEG_genomic	0.9201223	0.8729393	0.9382913	0.4804411	0.2313433		18.1490421	16.1417389	18.5459099	6.9272785	2.2750533
GCA_000590535.2_ASM59053v2_genomic	0.9416925	0.0000000	0.0000000	0.0000000	0.0000000		18.6623802	0.0000000	0.0000000	0.0000000	0.0000000
GCA_000311885.1_ASM31188v1_genomic	0.9669443	0.0000000	0.0000000	0.0000000	0.0000000		19.1288013	0.0000000	0.0000000	0.0000000	0.0000000
GCA_000255855.1_ASM25585v1_genomic	0.9470747	0.9087405	0.9385095	0.7969205	1.0000000		18.6970615	17.5735149	18.5348206	15.5002079	20.0000000
GCA_000255835.1_ASM25583v1_genomic	0.9428987	0.8989261	0.9383536	0.7962963	1.0000000		18.6246834	17.5518665	18.5894394	15.5004158	20.0000000
GCA_000255815.1_ASM25581v1_genomic	0.9490849	0.0000000	0.9382913	0.7967125	1.0000000		18.7637005	0.0000000	18.5893974	15.5000000	20.0000000
GCA_000255735.1_ASM25573v1_genomic	0.9462893	0.9343290	0.9384056	0.7969205	1.0000000		18.7241592	18.2915306	18.5946159	15.5008326	20.0000000
GCA_000255795.1_ASM25579v1_genomic	0.9425353	0.8811607	0.9384471	0.7971286	1.0000000		18.5877934	17.1464901	18.5997925	15.5000000	20.0000000
GCA_000255755.1_ASM25575v1_genomic	0.9446287	0.9150131	0.9384575	0.7981690	1.0000000		18.6628342	17.8521023	18.5945950	15.5517063	20.0000000
GCA_000255895.1_ASM25589v1_genomic	0.9485782	0.9248418	0.9387382	0.7969205	1.0000000		18.7412472	18.0954990	18.5395279	15.5483770	20.0000000
GCA_000255875.1_ASM25587v1_genomic	0.9450286	0.9052699	0.9384264	0.7968165	1.0000000		18.6710224	17.7474155	18.5341854	15.5002079	20.0000000
GCA_000255775.1_ASM25577v1_genomic	0.9466703	0.8888841	0.9383121	0.7968165	1.0000000		18.7245235	17.2746181	18.5840874	15.5008326	20.0000000
GCA_000182545.1_ASM18254v1_genomic	0.9509924	0.9556504	0.9404532	0.5696005	1.0000000		18.7799950	18.7821217	18.4899292	11.1085100	20.0000000
GCA_000182485.1_ASM18248v1_genomic	0.9352113	0.0118342	0.9497142	0.7133791	1.0000000		18.4841461	0.1706849	18.7231674	19.0602379	23.4648190
GCA_000181455.2_ASM18145v2_genomic	0.9667851	0.9636157	0.9545681	0.7156679	1.0000000		19.1295910	18.8257599	18.8815098	13.5606537	20.0000000
GCA_000325485.1_ASM32548v1_genomic	0.8661110	0.7015575	0.8191768	0.7927591	1.0000000		16.3429298	10.1379843	13.7407751	15.0311069	20.0000000
GCA_000325465.1_ASM32546v1_genomic	0.9322481	0.8828248	0.9361397	0.1959010	0.5980811		17.7320309	16.3407860	18.1316490	1.7114024	2.6631131
GCA_000325445.1_ASM32544v1_genomic	0.8842260	0.8051775	0.8741711	0.7878693	1.0000000		16.6434612	13.6861105	16.3888569	14.5095711	20.0000000
GCA_000325425.1_ASM32542v1_genomic	0.9293410	0.8745324	0.9261615	0.7981690	1.0000000		17.9086914	15.9640713	16.7953854	15.5518103	20.0000000
GCA_000325405.1_ASM32540v1_genomic	0.8785668	0.8007823	0.8551502	0.7800666	1.0000000		16.3010387	13.5316973	15.8898973	13.8604870	20.0000000
GCA_000325385.1_ASM32538v1_genomic	0.8835353	0.7677975	0.7949381	0.7924470	1.0000000		16.2669163	10.2970057	9.7826004	14.9790888	20.0000000
GCA_000325365.1_ASM32536v1_genomic	0.9219074	0.5874689	0.8879742	0.7899501	1.0000000		17.4404888	6.2444777	13.2264833	14.5620060	20.0000000
GCA_000325345.1_ASM32534v1_genomic	0.8931268	0.8147216	0.8880262	0.7901582	1.0000000		16.7706032	13.4801931	15.5060081	14.9783602	20.0000000
GCA_000325325.1_ASM32532v1_genomic	0.8974738	0.7754498	0.8826110	0.7144195	1.0000000		17.0295715	12.3102055	15.3458576	12.5844774	20.0000000
GCA_000325305.1_ASM32530v1_genomic	0.9067352	0.8720574	0.9316391	0.7882855	1.0000000		17.2411976	16.1713257	18.0253410	14.4594259	15.4371004
GCA_000325285.1_ASM32528v1_genomic	0.8833213	0.8258445	0.9181582	0.7971286	1.0000000		16.5980988	14.4388590	17.3016624	15.1337910	20.0000000
GCA_000325265.1_ASM32526v1_genomic	0.8845031	0.8610341	0.9302567	0.6978776	1.0000000		16.8596420	15.6991825	17.9529781	13.1054935	20.0000000
GCA_000325245.1_ASM32524v1_genomic	0.9098793	0.8727260	0.9308180	0.7896379	0.9424307		17.2375336	15.0610485	17.9098434	13.2122345	16.3070354
GCA_000325225.1_ASM32522v1_genomic	0.8993455	0.8446625	0.9274192	0.7747607	1.0000000		17.0009823	15.1372166	18.0586834	13.8852472	20.0000000
GCA_000325205.1_ASM32520v1_genomic	0.9229886	0.8840623	0.9363788	0.7968165	1.0000000		17.7540627	16.4828815	18.4031181	14.2478151	15.4584217
GCA_000325185.1_ASM32518v1_genomic	0.9068401	0.8776901	0.8856772	0.7988972	1.0000000		17.2121563	16.2408504	14.7421055	15.5542030	20.0000000
GCA_000325165.1_ASM32516v1_genomic	0.8987092	0.8666667	0.9311610	0.7082813	0.9989339		16.9728642	15.5861464	17.1086063	10.7085934	17.1012802
GCA_000325125.1_ASM32512v1_genomic	0.9287934	0.8879454	0.9376468	0.7831877	0.9402985		17.6402721	16.5036907	18.3100815	13.4725342	16.4498940
GCA_000325105.1_ASM32510v1_genomic	0.9071037	0.8494986	0.8843364	0.7981690	1.0000000		17.2751083	14.8904629	14.2066727	15.5517063	20.0000000
GCA_000325085.1_ASM32508v1_genomic	0.9266225	0.8529977	0.9367425	0.0279859	0.0000000		17.2346420	13.4441786	18.1940441	0.1040366	0.0000000
GCA_000325065.1_ASM32506v1_genomic	0.9195793	0.8605078	0.9158300	0.7803787	1.0000000		17.4010143	15.4900646	15.6516886	13.4741993	20.0000000
GCA_000325045.1_ASM32504v1_genomic	0.8853195	0.8685584	0.9056959	0.7739284	1.0000000		16.7018490	15.9982224	17.4030457	14.6659384	20.0000000
GCA_000325025.1_ASM32502v1_genomic	0.9052233	0.8489581	0.9068600	0.7981690	1.0000000		17.1148701	15.2264137	16.9780579	15.1861219	20.0000000
GCA_000325005.1_ASM32500v1_genomic	0.9227445	0.8582462	0.9166614	0.7855805	0.9445629		17.5076389	15.3006048	15.2156219	12.6898670	16.7057571
GCA_000324985.1_ASM32498v1_genomic	0.8975357	0.8758836	0.9375533	0.7977528	1.0000000		16.9323463	16.2750301	18.1327515	13.8317728	20.0000000
GCA_000324965.1_ASM32496v1_genomic	0.9140797	0.8795961	0.9164224	0.7981690	1.0000000		17.4855156	16.2256451	17.7129097	15.1842489	20.0000000
GCA_000324945.1_ASM32494v1_genomic	0.8648986	0.2648460	0.8895645	0.7301290	1.0000000		16.2265186	1.6691558	16.9232407	13.3149185	20.0000000
GCA_000324925.1_ASM32492v1_genomic	0.8922986	0.0174525	0.9370232	0.0000000	0.0000000		17.0770245	0.1953488	18.3047810	0.0000000	0.0000000
GCA_000324905.1_ASM32490v1_genomic	0.9243985	0.8844321	0.9368049	0.7981690	1.0000000		17.8358288	16.4972897	18.3748150	15.5499372	20.0000000
GCA_000324885.1_ASM32488v1_genomic	0.9221001	0.8777043	0.9352458	0.7981690	1.0000000		17.7317944	16.2981434	18.3020573	15.5499372	20.0000000
GCA_000324865.1_ASM32486v1_genomic	0.8885592	0.8552166	0.8746492	0.7785060	1.0000000		16.5757027	14.9735012	16.6221809	13.8334370	20.0000000
GCA_000324845.1_ASM32484v1_genomic	0.9325206	0.8715312	0.9319821	0.4394507	0.6588486		17.7920513	15.0872202	17.7908840	4.3626719	7.3784647
GCA_000324825.1_ASM32482v1_genomic	0.9296628	0.5463907	0.5163081	0.7981690	1.0000000		17.6531506	4.8774624	4.2963309	14.6627131	15.3518124
GCA_000324765.1_ASM32476v1_genomic	0.9008949	0.8488870	0.9170772	0.7981690	1.0000000		17.0534821	15.2224455	17.4718227	15.1862259	20.0000000
GCA_000324745.1_ASM32474v1_genomic	0.9279051	0.8870493	0.7634549	0.7991053	1.0000000		17.5127258	16.5967007	14.9054260	15.5634623	20.0000000
GCA_000324725.1_ASM32472v1_genomic	0.9114274	0.8909039	0.7631951	0.7969205	1.0000000		17.4815254	16.5687637	14.6908321	15.0943613	20.0000000
GCA_000324705.1_ASM32470v1_genomic	0.9237936	0.8018064	0.2170564	0.7991053	1.0000000		17.3008137	11.6679325	1.1430829	15.5634623	20.0000000
GCA_000324685.1_ASM32468v1_genomic	0.9057953	0.8771780	0.7629040	0.7223263	0.9808102		17.2806911	16.4629402	14.8900948	11.3940907	17.2334747
GCA_000324665.1_ASM32466v1_genomic	0.9063054	0.8731100	0.8674358	0.7988972	1.0000000		17.3094444	16.0304966	14.3676128	15.1872663	20.0000000
GCA_000324645.1_ASM32464v1_genomic	0.8858448	0.8002276	0.8444340	0.7843321	1.0000000		16.6142941	13.4742336	14.9262342	14.0376616	20.0000000
GCA_000324625.1_ASM32462v1_genomic	0.9311408	0.8858403	0.9380834	0.7515606	1.0000000		17.4508076	16.4633389	18.2640686	11.0808363	18.7590618
