id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSampleType	BioSamplePackage	BioSampleInfraspecies	BioSampleOrganism	BioSampleOrganismAlt	BioSampleSubSpecies	BioSampleStrain	BioSampleTaxonomyID	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleIsolateNameAlias	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
352	8162014	SAMN08162014	None	PRJNA421720	SRS2750409	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3924	None	Pathogen.cl.1.0	strain: Yp3924	Yersinia pestis	Yersinia pestis	None	Yp3924	632	None	1975	Brazil:Pernambuco:Araripina:Exu:Sitio Sao Vicente	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
353	8162013	SAMN08162013	None	PRJNA421720	SRS2750417	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3905	None	Pathogen.cl.1.0	strain: Yp3905	Yersinia pestis	Yersinia pestis	None	Yp3905	632	None	1975	Brazil:Pernambuco:Araripina:Ipubi:Povoado Serra Branca	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
354	8162012	SAMN08162012	None	PRJNA421720	SRS2750413	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3901	None	Pathogen.cl.1.0	strain: Yp3901	Yersinia pestis	Yersinia pestis	None	Yp3901	632	None	1975	Brazil:Pernambuco:Araripina:Exu:Sitio Badreci	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
355	8162010	SAMN08162010	None	PRJNA421720	SRS2750426	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3892	None	Pathogen.cl.1.0	strain: Yp3892	Yersinia pestis	Yersinia pestis	None	Yp3892	632	None	1975	Brazil:Pernambuco:Araripina:Araripina:Sitio Cachoeira	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
356	8162009	SAMN08162009	None	PRJNA421720	SRS2750412	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3884	None	Pathogen.cl.1.0	strain: Yp3884	Yersinia pestis	Yersinia pestis	None	Yp3884	632	None	1975	Brazil:Pernambuco:Araripina:Exu:Sitio Cana Mansa	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
357	8162007	SAMN08162007	None	PRJNA421720	SRS2750547	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3867	None	Pathogen.cl.1.0	strain: Yp3867	Yersinia pestis	Yersinia pestis	None	Yp3867	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Ludugerio	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
358	8162002	SAMN08162002	None	PRJNA421720	SRS2750581	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3858	None	Pathogen.cl.1.0	strain: Yp3858	Yersinia pestis	Yersinia pestis	None	Yp3858	632	None	1974	Brazil:Ceara:Cariri:Santana do Cariri:Sitio Serra da Palmeira	Rattus rattus alexandrinus	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
359	8162001	SAMN08162001	None	PRJNA421720	SRS2750566	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3856	None	Pathogen.cl.1.0	strain: Yp3856	Yersinia pestis	Yersinia pestis	None	Yp3856	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
360	8162000	SAMN08162000	None	PRJNA421720	SRS2750553	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3855	None	Pathogen.cl.1.0	strain: Yp3855	Yersinia pestis	Yersinia pestis	None	Yp3855	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Galea spixii wellsi	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
361	8161998	SAMN08161998	None	PRJNA421720	SRS2750459	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3853	None	Pathogen.cl.1.0	strain: Yp3853	Yersinia pestis	Yersinia pestis	None	Yp3853	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Cerradomys subflavus	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
362	8161997	SAMN08161997	None	PRJNA421720	SRS2750424	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3852	None	Pathogen.cl.1.0	strain: Yp3852	Yersinia pestis	Yersinia pestis	None	Yp3852	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
363	8161992	SAMN08161992	None	PRJNA421720	SRS2750436	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3847	None	Pathogen.cl.1.0	strain: Yp3847	Yersinia pestis	Yersinia pestis	None	Yp3847	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Cerradomys subflavus	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
364	8161991	SAMN08161991	None	PRJNA421720	SRS2750440	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3845	None	Pathogen.cl.1.0	strain: Yp3845	Yersinia pestis	Yersinia pestis	None	Yp3845	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
365	8161989	SAMN08161989	None	PRJNA421720	SRS2750433	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3843	None	Pathogen.cl.1.0	strain: Yp3843	Yersinia pestis	Yersinia pestis	None	Yp3843	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
366	8161988	SAMN08161988	None	PRJNA421720	SRS2750379	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3842	None	Pathogen.cl.1.0	strain: Yp3842	Yersinia pestis	Yersinia pestis	None	Yp3842	632	None	1974	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Pau Casado	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
367	8161981	SAMN08161981	None	PRJNA421720	SRS2750391	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3833	None	Pathogen.cl.1.0	strain: Yp3833	Yersinia pestis	Yersinia pestis	None	Yp3833	632	None	1972	Brazil:Pernambuco:Araripina:Exu:Sitio Lagoa da Rapadura	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
368	8161980	SAMN08161980	None	PRJNA421720	SRS2750435	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3832	None	Pathogen.cl.1.0	strain: Yp3832	Yersinia pestis	Yersinia pestis	None	Yp3832	632	None	1972	Brazil:Ceara:Ibiapaba:Sao Benedito:Sitio Pimenteira	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
369	8161979	SAMN08161979	None	PRJNA421720	SRS2750441	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3830	None	Pathogen.cl.1.0	strain: Yp3830	Yersinia pestis	Yersinia pestis	None	Yp3830	632	None	1971	Brazil:Ceara:Ibiapaba:Guaraciaba do Norte:Sitio Sao Jose	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
370	8161978	SAMN08161978	None	PRJNA421720	SRS2750659	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3829	None	Pathogen.cl.1.0	strain: Yp3829	Yersinia pestis	Yersinia pestis	None	Yp3829	632	None	1971	Brazil:Ceara:Ibiapaba:Guaraciaba do Norte:Sitio Sussuanha	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
371	8161977	SAMN08161977	None	PRJNA421720	SRS2750689	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3828	None	Pathogen.cl.1.0	strain: Yp3828	Yersinia pestis	Yersinia pestis	None	Yp3828	632	None	1971	Brazil:Ceara:Ibiapaba:Guaraciaba do Norte:Sitio Benedito	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
372	8161976	SAMN08161976	None	PRJNA421720	SRS2750666	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3826	None	Pathogen.cl.1.0	strain: Yp3826	Yersinia pestis	Yersinia pestis	None	Yp3826	632	None	1971	Brazil:Ceara:Ipu:Ipueiras:Povoado America	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
373	8161975	SAMN08161975	None	PRJNA421720	SRS2750665	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3825	None	Pathogen.cl.1.0	strain: Yp3825	Yersinia pestis	Yersinia pestis	None	Yp3825	632	None	1971	Brazil:Ceara:Ipu:Ipu:Sitio Mato Grosso	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
374	8161974	SAMN08161974	None	PRJNA421720	SRS2750694	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3824	None	Pathogen.cl.1.0	strain: Yp3824	Yersinia pestis	Yersinia pestis	None	Yp3824	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Serra da Matinha	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
375	8161973	SAMN08161973	None	PRJNA421720	SRS2750676	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3823	None	Pathogen.cl.1.0	strain: Yp3823	Yersinia pestis	Yersinia pestis	None	Yp3823	632	None	1971	Brazil:Ceara:Ibiapaba:Guaraciaba do Norte:Sitio Timbauba	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
376	8161972	SAMN08161972	None	PRJNA421720	SRS2750690	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3822	None	Pathogen.cl.1.0	strain: Yp3822	Yersinia pestis	Yersinia pestis	None	Yp3822	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Manicoba	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
377	8161969	SAMN08161969	None	PRJNA421720	SRS2750662	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3819	None	Pathogen.cl.1.0	strain: Yp3819	Yersinia pestis	Yersinia pestis	None	Yp3819	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Pocos	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
378	8161966	SAMN08161966	None	PRJNA421720	SRS2750615	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3815	None	Pathogen.cl.1.0	strain: Yp3815	Yersinia pestis	Yersinia pestis	None	Yp3815	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Manicoba	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
379	8161965	SAMN08161965	None	PRJNA421720	SRS2750601	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3813	None	Pathogen.cl.1.0	strain: Yp3813	Yersinia pestis	Yersinia pestis	None	Yp3813	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Aracaju	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
380	8161961	SAMN08161961	None	PRJNA421720	SRS2750597	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3809	None	Pathogen.cl.1.0	strain: Yp3809	Yersinia pestis	Yersinia pestis	None	Yp3809	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Manicoba	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
381	8161959	SAMN08161959	None	PRJNA421720	SRS2750606	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3807	None	Pathogen.cl.1.0	strain: Yp3807	Yersinia pestis	Yersinia pestis	None	Yp3807	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Baixio do Meio	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
382	8161958	SAMN08161958	None	PRJNA421720	SRS2750491	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3806	None	Pathogen.cl.1.0	strain: Yp3806	Yersinia pestis	Yersinia pestis	None	Yp3806	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Manicoba	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
383	8161957	SAMN08161957	None	PRJNA421720	SRS2750760	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3805	None	Pathogen.cl.1.0	strain: Yp3805	Yersinia pestis	Yersinia pestis	None	Yp3805	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Manicoba	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
384	8161956	SAMN08161956	None	PRJNA421720	SRS2750709	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3803	None	Pathogen.cl.1.0	strain: Yp3803	Yersinia pestis	Yersinia pestis	None	Yp3803	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Pamonha	Cerradomys subflavus	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
385	8161955	SAMN08161955	None	PRJNA421720	SRS2750761	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3802	None	Pathogen.cl.1.0	strain: Yp3802	Yersinia pestis	Yersinia pestis	None	Yp3802	632	None	1971	Brazil:Pernambuco:Araripina:Exu:Sitio Entremontes	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
386	8161954	SAMN08161954	None	PRJNA421720	SRS2750506	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3801	None	Pathogen.cl.1.0	strain: Yp3801	Yersinia pestis	Yersinia pestis	None	Yp3801	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Paraiso	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
387	8161952	SAMN08161952	None	PRJNA421720	SRS2750478	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3799	None	Pathogen.cl.1.0	strain: Yp3799	Yersinia pestis	Yersinia pestis	None	Yp3799	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Engenho Velho	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
388	8161951	SAMN08161951	None	PRJNA421720	SRS2750482	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3797	None	Pathogen.cl.1.0	strain: Yp3797	Yersinia pestis	Yersinia pestis	None	Yp3797	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Entremontes	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
389	8161950	SAMN08161950	None	PRJNA421720	SRS2750480	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3795	None	Pathogen.cl.1.0	strain: Yp3795	Yersinia pestis	Yersinia pestis	None	Yp3795	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Batinga	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
390	8161949	SAMN08161949	None	PRJNA421720	SRS2750479	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3794	None	Pathogen.cl.1.0	strain: Yp3794	Yersinia pestis	Yersinia pestis	None	Yp3794	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Batinga	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
391	8161948	SAMN08161948	None	PRJNA421720	SRS2750508	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3793	None	Pathogen.cl.1.0	strain: Yp3793	Yersinia pestis	Yersinia pestis	None	Yp3793	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Entremontes	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
392	8161945	SAMN08161945	None	PRJNA421720	SRS2750444	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3790	None	Pathogen.cl.1.0	strain: Yp3790	Yersinia pestis	Yersinia pestis	None	Yp3790	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Oriente	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
393	8161940	SAMN08161940	None	PRJNA421720	SRS2750442	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3785	None	Pathogen.cl.1.0	strain: Yp3785	Yersinia pestis	Yersinia pestis	None	Yp3785	632	None	1970	Brazil:Pernambuco:Araripina:Exu:Sitio Cacimbas	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
394	8161936	SAMN08161936	None	PRJNA421720	SRS2750724	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3774	None	Pathogen.cl.1.0	strain: Yp3774	Yersinia pestis	Yersinia pestis	None	Yp3774	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Pedra Grande	Ornithodoros	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
395	8161933	SAMN08161933	None	PRJNA421720	SRS2750743	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3765	None	Pathogen.cl.1.0	strain: Yp3765	Yersinia pestis	Yersinia pestis	None	Yp3765	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Bugao	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
396	8161932	SAMN08161932	None	PRJNA421720	SRS2750728	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3763	None	Pathogen.cl.1.0	strain: Yp3763	Yersinia pestis	Yersinia pestis	None	Yp3763	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Viracao	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
397	8161931	SAMN08161931	None	PRJNA421720	SRS2750732	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3762	None	Pathogen.cl.1.0	strain: Yp3762	Yersinia pestis	Yersinia pestis	None	Yp3762	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Bugao	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
398	8161930	SAMN08161930	None	PRJNA421720	SRS2750726	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3761	None	Pathogen.cl.1.0	strain: Yp3761	Yersinia pestis	Yersinia pestis	None	Yp3761	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Novo	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
399	8161929	SAMN08161929	None	PRJNA421720	SRS2750741	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3759	None	Pathogen.cl.1.0	strain: Yp3759	Yersinia pestis	Yersinia pestis	None	Yp3759	632	None	1969	Brazil:Pernambuco:Araripina:Ipubi:Sitio Serra Anastacio Barbosa	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
400	8161928	SAMN08161928	None	PRJNA421720	SRS2750371	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3757	None	Pathogen.cl.1.0	strain: Yp3757	Yersinia pestis	Yersinia pestis	None	Yp3757	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Gamba	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
401	8161927	SAMN08161927	None	PRJNA421720	SRS2750386	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3756	None	Pathogen.cl.1.0	strain: Yp3756	Yersinia pestis	Yersinia pestis	None	Yp3756	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Luiz Ferreira	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
402	8161925	SAMN08161925	None	PRJNA421720	SRS2750446	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3754	None	Pathogen.cl.1.0	strain: Yp3754	Yersinia pestis	Yersinia pestis	None	Yp3754	632	None	1969	Brazil:Pernambuco:Araripina:Ipubi:Sitio Serra Janoca	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
403	8161923	SAMN08161923	None	PRJNA421720	SRS2750380	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3752	None	Pathogen.cl.1.0	strain: Yp3752	Yersinia pestis	Yersinia pestis	None	Yp3752	632	None	1969	Brazil:Pernambuco:Salgueiro:Sao Jose do Belmonte:Sitio Baixio Velho	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
404	8161922	SAMN08161922	None	PRJNA421720	SRS2750377	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3749	None	Pathogen.cl.1.0	strain: Yp3749	Yersinia pestis	Yersinia pestis	None	Yp3749	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Pamonha	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
405	8161919	SAMN08161919	None	PRJNA421720	SRS2750484	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3744	None	Pathogen.cl.1.0	strain: Yp3744	Yersinia pestis	Yersinia pestis	None	Yp3744	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Serra Joaquim Santana	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
406	8161918	SAMN08161918	None	PRJNA421720	SRS2750481	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3743	None	Pathogen.cl.1.0	strain: Yp3743	Yersinia pestis	Yersinia pestis	None	Yp3743	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Badreci	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
407	8161917	SAMN08161917	None	PRJNA421720	SRS2750483	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3742	None	Pathogen.cl.1.0	strain: Yp3742	Yersinia pestis	Yersinia pestis	None	Yp3742	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Badreci	Pulex	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
408	8161915	SAMN08161915	None	PRJNA421720	SRS2750718	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3735	None	Pathogen.cl.1.0	strain: Yp3735	Yersinia pestis	Yersinia pestis	None	Yp3735	632	None	1969	Brazil:Pernambuco:Araripina:Exu:Sitio Floresta	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
409	8161914	SAMN08161914	None	PRJNA421720	SRS2750501	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3731	None	Pathogen.cl.1.0	strain: Yp3731	Yersinia pestis	Yersinia pestis	None	Yp3731	632	None	1968	Brazil:Pernambuco:Araripina:Exu:Sitio Barrinha	Pulex	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
410	8161913	SAMN08161913	None	PRJNA421720	SRS2750485	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3726	None	Pathogen.cl.1.0	strain: Yp3726	Yersinia pestis	Yersinia pestis	None	Yp3726	632	None	1968	Brazil:Pernambuco:Araripina:Bodoco:Sitio Serra Pedro Paulino	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
411	8161912	SAMN08161912	None	PRJNA421720	SRS2750497	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3725	None	Pathogen.cl.1.0	strain: Yp3725	Yersinia pestis	Yersinia pestis	None	Yp3725	632	None	1968	Brazil:Pernambuco:Araripina:Bodoco:Sitio Taboquinha	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
412	8161911	SAMN08161911	None	PRJNA421720	SRS2750490	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3724	None	Pathogen.cl.1.0	strain: Yp3724	Yersinia pestis	Yersinia pestis	None	Yp3724	632	None	1968	Brazil:Pernambuco:Araripina:Araripina:Sitio Serra Cicero Mendes	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
413	8161910	SAMN08161910	None	PRJNA421720	SRS2750505	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3723	None	Pathogen.cl.1.0	strain: Yp3723	Yersinia pestis	Yersinia pestis	None	Yp3723	632	None	1968	Brazil:Pernambuco:Araripina:Exu:Sitio Mamonas	Polygenis	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
414	8161909	SAMN08161909	None	PRJNA421720	SRS2750489	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3722	None	Pathogen.cl.1.0	strain: Yp3722	Yersinia pestis	Yersinia pestis	None	Yp3722	632	None	1968	Brazil:Pernambuco:Araripina:Bodoco:Sitio Queimada	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
415	8161908	SAMN08161908	None	PRJNA421720	SRS2750393	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3715	None	Pathogen.cl.1.0	strain: Yp3715	Yersinia pestis	Yersinia pestis	None	Yp3715	632	None	1968	Brazil:Pernambuco:Araripina:Araripina:Sitio Cascavel	Homo sapiens	plague	None	NA	None	NA	None	2018/12/13	2018/12/13	2018/12/13	Northern Arizona University	KEEP
