id	BioProject_id	BioProjectAccession	BioProjectDataType	BioProjectDescription	BioProjectMethodType	BioProjectName	BioProjectTargetCapture	BioProjectTargetMaterial	BioProjectTargetScope	BioProjectTitle	BioProjectType	BioProjectOrganismLabel	BioProjectOrganismStrain	BioProjectSupergroup	BioProjectTaxonomicID	BioProjectRegistrationDate	BioProjectRelevanceMedical	BioProjectSequencingStatus	BioProjectSubmitterOrganization	BioProjectComment
56	421720	PRJNA421720	Genome sequencing	Whole genome sequencing of Yersinia pestis isolates from Brazil	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Genome sequencing	Primary submission	None	None	Bacteria	632	2017/12/08 00:00	None	SRA/Trace	Northern Arizona University	None
57	412669	PRJNA412669	Genome sequencing and assembly	Sequencing of a strain associated with laboratory infection of plague	Sequencing	Yersinia pestis strain:UC91309	Whole	Genome	Monoisolate	Yersinia pestis sequencing of UC91309	Primary submission	None	UC91309	Bacteria	632	2017/10/11 00:00	yes	Contigs	Northern Arizona University	None
58	407692	PRJNA407692	Genome sequencing and assembly	Himalayan marmot dwelled in Himalayan regions of China, India, Nepal and Pakistan. Compared with other plateau animals, it has a unique feature, excavating deep burrows shared by colony members, and may have specific adaptations for living in cold, hypoxic, and intensity UV radiation environment. It is also characterized by having high susceptibility to woodchuck hepatitis virus (WHV), a resemblance of human hepatitis B virus; being a natural host and transmitter for plague in humans, which makes them a potential animal model for studying hepatitis B virus and plague infection, as well as for drug safety evaluation. Regardless of this, the genetic bases responsible for these physiological features are not fully defined.	Sequencing	Marmota himalayana	Whole	Genome	Monoisolate	Marmota himalayana Genome sequencing and assembly	Primary submission	None	None	Eukaryotes	93163	2019/05/10 00:00	yes	Scaffolds	Xian Jiaotong University Health Science Center	None
59	406979	PRJNA406979	Genome sequencing and assembly	Mastomys are important models for gastric cancer, skin cancer, and mammary evolution as well as hosts for Lassa virus and the plague	Sequencing	Mastomys coucha	Whole	Genome	Multispecies	Whole genome sequencing of Mastomys coucha and M. natalensis Genome sequencing and assembly	Primary submission	None	None	None	0	2017/09/12 00:00	None	SRA/Trace	University of California, San Francisco	None
60	406910	PRJEB19335	Other	Yersinia pestis, the aetiologic agent of plague, is a bacterium associated with wild rodents and their fleas. Historically it was responsible for three pandemics: the Plague of Justinian in the 6th century AD which persisted until the 8th century; the renowned Black Death of the 14th century with recurrent outbreaks until the 18th century; and the most recent 19th century pandemic where Y. pestis spread world-wide and became endemic in several regions. The discovery of molecular signatures of Y. pestis in Prehistoric Eurasian individuals, and two genomes from Southern Siberia, suggest Y. pestis caused some form of disease in humans prior to the first historically documented pandemic. Here, we present six new European Y. pestis genomes spanning the Late Neolithic to the Bronze Age (LNBA; 4,800 to 3,700 calBP). This time period is characterized by major transformative cultural and social changes that led to cross-European networks of contact and exchange. We show that all known LNBA strains form a single putatively extinct clade in the Y. pestis phylogeny. Interpreting our data within the context of recent ancient human genomic evidence that suggests an increase in human mobility during the LNBA, we propose a possible scenario for the early spread of Y. pestis: the pathogen may have entered Europe from Central Eurasia following an expansion of people from the steppe, persisted within Europe until the mid-Bronze Age, and moved back towards Central Eurasia in parallel with human populations.	Sequencing	stone-age-plague-2017	Whole	Genome	Monoisolate	The Stone Age Plague: 1000 years of Persistence in Eurasia	Primary submission	None	None	None	0	2017/09/12 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History	None
61	398463	PRJNA398463	Genome sequencing and assembly	Brucella melitensis I-308	Sequencing	Brucella melitensis strain:I-308	Whole	Genome	Monoisolate	Brucella melitensis strain:I-308 Genome sequencing	Primary submission	None	I-308	Bacteria	29459	2017/08/30 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
62	398461	PRJNA398461	Genome sequencing and assembly	Brucella melitensis I-370	Sequencing	Brucella melitensis strain:I-370	Whole	Genome	Monoisolate	Brucella melitensis strain:I-370 Genome sequencing	Primary submission	None	I-370	Bacteria	29459	2017/08/30 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
63	398460	PRJNA398460	Genome sequencing and assembly	Brucella melitensis I-340	Sequencing	Brucella melitensis strain:I-340	Whole	Genome	Monoisolate	Brucella melitensis strain:I-340 Genome sequencing	Primary submission	None	I-340	Bacteria	29459	2017/08/30 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
64	398456	PRJNA398456	Genome sequencing and assembly	Brucella melitensis I-194	Sequencing	Brucella melitensis strain:I-194	Whole	Genome	Monoisolate	Brucella melitensis strain:I-194 Genome sequencing	Primary submission	None	I-194	Bacteria	29459	2017/08/30 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
65	397974	PRJNA397974	Genome sequencing and assembly	Brucella melitensis I-280	Sequencing	Brucella melitensis strain:I-280	Whole	Genome	Monoisolate	Brucella melitensis strain:I-280 Genome sequencing	Primary submission	None	I-280	Bacteria	29459	2017/08/30 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
66	397965	PRJNA397965	Genome sequencing and assembly	Brucella melitensis str. I-160	Sequencing	Brucella melitensis strain:I-160	Whole	Genome	Monoisolate	Brucella melitensis strain:I-160 Genome sequencing	Primary submission	None	I-160	Bacteria	29459	2017/08/30 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
67	397830	PRJNA397830	Raw sequence reads	Bacteriophage-resistant mutants of Yersinia pestis	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Raw sequence reads	Primary submission	None	None	Bacteria	632	2017/08/10 00:00	None	SRA/Trace	Beijing Institute of Microbiology and Epidemiology	None
68	391106	PRJNA391106	Other	Using a library of over 1 million Y. pestis CO92 random mutants and transposon-directed insertion site sequencing, we identified 530 essential genes when the bacteria were cultured at 28oC. When the library of mutants was subsequently cultured at 37oC we identified 19 genes that were essential at 37oC but not at 28oC, including genes which encode proteins that play a role in enabling functioning of the type III secretion and in DNA replication and maintenance. Overall design: 100 bp single end reads on an Illumina HiSeq 2500 standard mode	Other	Yersinia pestis	Whole	Other	Multiisolate	An integrated computational-experimental approach reveals Yersinia pestis genes essential across a narrow or a broad range of environmental conditions	Primary submission	None	None	Bacteria	632	2017/06/20 00:00	Yes	SRA/Trace	University of Exeter	None
69	384395	PRJNA384395	Transcriptome or Gene expression	Testing expression of genes regulated by YPO0627 and YPO0628 relative to wild-type Yersinia pestis CO92(pCD1-)	Sequencing	Yersinia pestis strain:CO92(pCD1-)	Whole	Transcriptome	Monoisolate	Yersinia pestis strain:CO92(pCD1-) Transcriptome or Gene expression	Primary submission	None	CO92(pCD1-)	Bacteria	632	2017/04/26 00:00	None	SRA/Trace	Howard Taylor Ricketts Lab, University of Chicago	None
70	378874	PRJNA378874	Genome sequencing and assembly	Genome sequencing of Aphanomyces astaci, causative agent of crayfish plague.	Sequencing	Aphanomyces astaci isolate:Pc	Whole	Genome	Monoisolate	Aphanomyces astaci isolate:Pc Genome sequencing	Primary submission	None	None	Eukaryotes	112090	2017/06/16 00:00	None	Scaffolds	University of Exeter	None
71	360325	PRJNA360325	Genome sequencing and assembly	This is a multiisolate project used in population and genetic diversity analysis	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Raw sequence reads	Primary submission	None	None	Bacteria	632	2019/01/14 00:00	None	Scaffolds	Xinjiang Center for Disease Control and Prevention	None
72	357858	PRJNA357858	Genome sequencing and assembly	Yersinia pestis 195/P nanopore assembly and sequencing benchmarking	Sequencing	Yersinia pestis strain:195/P	Whole	Genome	Monoisolate	Yersinia pestis strain:195/P Genome sequencing and assembly	Primary submission	None	195/P	Bacteria	632	2017/02/21 00:00	None	Complete	NHGRI/NIH	None
73	355380	PRJNA355380	Genome sequencing and assembly	Brucella melitensis I-338	Sequencing	Brucella melitensis strain:I-338	Whole	Genome	Monoisolate	Brucella melitensis I-338	Primary submission	None	I-338	Bacteria	29459	2017/08/23 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
74	355376	PRJNA355376	Genome sequencing and assembly	Brucella melitensis I-216	Sequencing	Brucella melitensis strain:I-216	Whole	Genome	Monoisolate	Brucella melitensis I-216	Primary submission	None	I-216	Bacteria	29459	2017/08/23 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
75	355374	PRJNA355374	Genome sequencing and assembly	Brucella melitensis I-136	Sequencing	Brucella melitensis strain:I-136	Whole	Genome	Monoisolate	Brucella melitensis I-136	Primary submission	None	I-136	Bacteria	29459	2017/10/23 00:00	None	Contigs	Stavropol Plague Control Reseach Institute	None
76	344947	PRJNA344947	Genome sequencing and assembly	Burkholderia mallei V-120 whole genome shotguns	Sequencing	Burkholderia mallei strain:V-120	Whole	Genome	Monoisolate	Burkholderia mallei strain:V-120 Genome sequencing	Primary submission	None	V-120	Bacteria	13373	2016/12/15 00:00	None	Contigs	Volgograd Research Institute for Plague Control	None
77	344439	PRJNA344439	Genome sequencing and assembly	Bructlla melitensis str. I-349	Sequencing	Brucella melitensis strain:I-349	Whole	Genome	Monoisolate	Brucella melitensis strain:I-349 Genome sequencing and assembly	Primary submission	None	I-349	Bacteria	29459	2017/08/23 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
78	344436	PRJNA344436	Genome sequencing and assembly	Brucella melitensis str. KIV-L	Sequencing	Brucella melitensis strain:KIV-L	Whole	Genome	Monoisolate	Brucella melitensis strain:KIV-L Genome sequencing and assembly	Primary submission	None	KIV-L	Bacteria	29459	2017/08/23 00:00	yes	Contigs	Stavropol Plague Control Reseach Institute	None
79	341721	PRJNA341721	Genome sequencing and assembly	Comparative analysis of Yersinia pestis genomes from Madagascar	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Genome sequencing and assembly	Primary submission	None	None	Bacteria	632	2016/09/02 00:00	yes	SRA/Trace	Northern Arizona University	None
80	341663	PRJEB14851	Other	The Justinianic Plague, which started in the 6th century and lasted to the mid-8th century, is thought to be the first of three historically documented plague pandemics causing massive casualties. Historical accounts and molecular data suggest the bacterium Yersinia pestis as its etiological agent. Here we present a new high-coverage (17.9 fold) Y. pestis genome obtained from a 6th-century skeleton recovered from a southern German burial site close to Munich. The reconstructed genome enabled the detection of 30 unique substitutions as well as structural differences that have not been previously described. We report indels affecting a lacl family transcription regulator gene as well as non-synonymous substitutions in the nrdE, fadJ and pcp genes, that have been suggested as plague virulence determinants or have been shown to be up-regulated in different models of plague infection. In addition, we identify 19 false positive substitutions in a previously published lower coverage Y. pestis genome from another archaeological site of the same time period and geographical region that is otherwise genetically identical to the high coverage genome sequence reported here, suggesting low genetic diversity of the plague during the 6th century in rural southern Germany.	Sequencing	None	Whole	Genome	Monoisolate	A high-coverage Yersinia pestis Genome from a 6th-century Justinianic Plague Victim	Primary submission	None	None	None	0	2016/09/02 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History	None
81	340278	PRJNA340278	Genome sequencing and assembly	Isolates from a prairie dog passage experiment	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis prairie dog passage sequencing	Primary submission	None	None	Bacteria	632	2016/08/26 00:00	yes	SRA/Trace	Northern Arizona University	None
82	337930	PRJEB15052	Genome sequencing and assembly	Yersinia pestis halotolerance illuminates plague reservoirs	Sequencing	None	Whole	Genome	Monoisolate	Yersinia pestis halotolerance illuminates plague reservoirs	Primary submission	None	None	None	0	2016/08/05 00:00	None	Scaffolds	URMITE	None
83	335692	PRJNA335692	Genome sequencing and assembly	Whole genome sequencing of referent strain of Burkholderia pseudomallei	Sequencing	None	Whole	Genome	Multispecies	B. pseudomallei 110 total genome sequencing	Primary submission	None	None	None	0	2016/07/28 00:00	yes	Scaffolds	Volgograd Research Institute for Plague Control	None
84	328937	PRJNA328937	Transcriptome or Gene expression	Pneumonic plague is the most deadly form of infection caused by Yersinia pestis and can progress extremely fast. However, our understanding on the host transcriptomic response to pneumonic plague is insufficient. Here, we used RNA-sequencing technology to analyze transcriptomic responses in mice infected with fully virulent strain 201 or EV76, a live attenuated vaccine strain lacking the pigmentation locus. Approximately 600 differentially expressed genes (DEGs) were detected in lungs from both 201- and EV76-infected mice at 12 hours post-infection (hpi). DEGs in lungs of 201-infected mice exceeded 2,000 at 48 hpi, accompanied by sustained large numbers of DEGs in the liver and spleen; however, limited DEGs were detected in those organs of EV-infected mice. Remarkably, DEGs in lungs were significantly enriched in critical immune responses pathways in EV76-infected but not 201-infected mice, including antigen processing and presentation, T cell receptor signaling among others. Pathological and bacterial load analyses confirmed the rapid systemic dissemination of 201-infection and the confined EV76-infection in lungs. Our results demonstrate that fully virulent Y. pestis strongly inhibits both the innate and adaptive immune responses that are substantially stimulated in a self-limited infection, which update our holistic views on the transcriptomic response to pneumonic plague. Overall design: We used RNA-sequencing technology to analyze transcriptomic responses in lungs, spleen and liver of  mice infected with fully virulent strain 201 or EV76 at 12, 48 and 72 hpi.	Sequencing	Mus musculus	Whole	Transcriptome	Multiisolate	Host Transcriptomic responses to pneumonic plague reveal that Yersinia pestis inhibits both the initial adaptive and innate immune responses in mice	Primary submission	None	None	Eukaryotes	10090	2016/07/13 00:00	None	SRA/Trace	Beijing Institute of Microbiology and Epidemiology	None
85	328218	PRJNA328218	Other	Sequencing of the 3’ end of poly(A)+ RNA identifies cleavage and polyadenylation sites (pAs) and measures transcript expression. We previously developed a method, 3’ region extraction and deep sequencing (3’READS), to address mispriming issues that often plague 3’ end sequencing. Here we report a new version, named 3’READS+, which has vastly improved accuracy and sensitivity. Using a special locked nucleic acid oligo to capture poly(A)+ RNA and to remove bulk of the poly(A) tail, 3’READS+ generates RNA fragments with an optimal number of terminal As that balance data quality and detection of genuine pAs. With improved RNA ligation steps for efficiency, the method shows much higher sensitivity (over two orders of magnitude) compared to the previous version. Using 3’READS+, we have uncovered a sizable fraction of previously overlooked pAs located next to or within a stretch of adenylate residues in human genes, and more accurately assessed the frequency of alternative cleavage and polyadenylation (APA) in HeLa cells (~50%). 3’READS+ will be a useful tool to accurately study APA and to analyze gene expression by 3’ end counting, especially when the amount of input total RNA is limited. Overall design: Nine 3READS+ libraries were made with different amounts (100 ng, 200 ng, 400 ng, 1000 ng, 5000 ng, 15000 ng) of input Hela RNA.	Other	Homo sapiens	Whole	Other	Multiisolate	3’READS+, a sensitive and accurate method for 3’ end sequencing of polyadenylated RNA	Primary submission	None	None	Eukaryotes	9606	2016/07/08 00:00	Yes	SRA/Trace	Bin Tian, Microbiology, Biochemistry and Molecular Genetics, Rutgers University, New Jersey Medical School	None
86	326509	PRJNA326509	Genome sequencing and assembly	Investigation of AMR in Yersinia pestis	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	AMR Yersinia pestis Genome sequencing and assembly	Primary submission	None	None	Bacteria	632	2016/07/26 00:00	None	Complete	USAMRIID	None
87	325569	PRJNA325569	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:KM874	Whole	Genome	Monoisolate	Yersinia pestis strain:KM874 Genome sequencing	Primary submission	None	KM874	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
88	325223	PRJNA325223	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:3551	Whole	Genome	Monoisolate	Yersinia pestis strain:3551 Genome sequencing	Primary submission	Ctenophthalmus teres	3551	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
89	325221	PRJNA325221	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:3544	Whole	Genome	Monoisolate	Yersinia pestis strain:3544 Genome sequencing	Primary submission	Microtus arvalis	3544	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
90	325219	PRJNA325219	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:261	Whole	Genome	Monoisolate	Yersinia pestis strain:261 Genome sequencing	Primary submission	meriones erythrourus	261	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
91	325218	PRJNA325218	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1240	Whole	Genome	Monoisolate	Yersinia pestis strain:1240 Genome sequencing	Primary submission	meriones erythrourus	1240	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
92	325208	PRJNA325208	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:44	Whole	Genome	Monoisolate	Yersinia pestis strain:44 Genome sequencing	Primary submission	Ceratophyllus laeviceps	44	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
93	325206	PRJNA325206	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-3223	Whole	Genome	Monoisolate	Yersinia pestis strain:I-3223 Genome sequencing	Primary submission	citellophylus tesquorum	I-3223	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
94	325202	PRJNA325202	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:244	Whole	Genome	Monoisolate	Yersinia pestis strain:244 Genome sequencing	Primary submission	Clinical Isolate	244	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
95	325200	PRJNA325200	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:C-627	Whole	Genome	Monoisolate	Yersinia pestis strain:C-627 Genome sequencing	Primary submission	Coleophora tesquorum	C-627	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
96	325198	PRJNA325198	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1454	Whole	Genome	Monoisolate	Yersinia pestis strain:1454 Genome sequencing	Primary submission	Spermophilus undulatus	1454	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
97	325196	PRJNA325196	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-3244	Whole	Genome	Monoisolate	Yersinia pestis strain:I-3244 Genome sequencing	Primary submission	Ochotona dauurica	I-3244	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
98	325083	PRJNA325083	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:349	Whole	Genome	Monoisolate	Yersinia pestis strain:349 Genome sequencing	Primary submission	Oropsylla silantievi	349	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
99	325081	PRJNA325081	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:337	Whole	Genome	Monoisolate	Yersinia pestis strain:337 Genome sequencing	Primary submission	None	337	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
100	325080	PRJNA325080	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-3086	Whole	Genome	Monoisolate	Yersinia pestis strain:I-3086 Genome sequencing	Primary submission	Microtus brandti	I-3086	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
101	325076	PRJNA325076	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:338	Whole	Genome	Monoisolate	Yersinia pestis strain:338 Genome sequencing	Primary submission	None	338	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"	None
102	324794	PRJEB13664	Other	Yersinia pestis is one of the most virulent bacterial pathogens known to humans. Here we deepen our knowledge of its history through the analysis of Y. pestis genomes from plague victims of the Black Death and two subsequent historical outbreaks. Our sample range spans Europe and its vicinity, namely Barcelona, Spain (1300-1420 cal AD), Bolgar City, Russia (1298-1388 cal AD), and Ellwangen, Germany (1485-1627 cal AD). Our results provide support for a single entry of plague during the Black Death, followed by a medieval wave of plague that traveled towards Asia to later become the source population for contemporary worldwide epidemics. In addition, our data from post-Black Death outbreaks are best explained by the presence of an historical European plague focus that is now likely extinct.	Sequencing	None	Whole	Genome	Monoisolate	Historical Y. pestis genomes reveal the European Black Death as the source of ancient and modern plague pandemics	Primary submission	None	None	None	0	2016/06/08 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History	None
103	322444	PRJNA322444	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1906	Whole	Genome	Monoisolate	Yersinia pestis strain:1906 Genome sequencing	Primary submission	None	1906	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
104	322440	PRJNA322440	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1836	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1836 Genome sequencing	Primary submission	None	A-1836	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
105	322436	PRJNA322436	Genome sequencing and assembly	Whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:M-1944	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1944 Genome sequencing	Primary submission	None	M-1944	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
106	322434	PRJNA322434	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:835	Whole	Genome	Monoisolate	Yersinia pestis strain:835 Genome sequencing	Primary submission	None	835	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
107	322432	PRJNA322432	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1530	Whole	Genome	Monoisolate	Yersinia pestis strain:1530 Genome sequencing	Primary submission	None	1530	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
108	322430	PRJNA322430	Genome sequencing and assembly	Whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:595	Whole	Genome	Monoisolate	Yersinia pestis strain:595 Genome sequencing	Primary submission	None	595	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
109	322416	PRJNA322416	Raw sequence reads	The scleractinian coral Diploria labyrinthiformis was used as test organism for White Plague transmit-ability via a Chryptochiridae gall crab	Sequencing	Diploria labyrinthiformis	Whole	Genome	Environment	Diploria labyrinthiformis Raw sequence reads	Primary submission	None	None	Eukaryotes	242715	2016/05/22 00:00	None	SRA/Trace	Georgia Institute of Technology	None
110	322260	PRJNA322260	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1313	Whole	Genome	Monoisolate	Yersinia pestis strain:1313 Genome sequencing	Primary submission	None	1313	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
111	322257	PRJNA322257	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-2998	Whole	Genome	Monoisolate	Yersinia pestis strain:I-2998 Genome sequencing	Primary submission	None	I-2998	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
112	322252	PRJNA322252	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1691	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1691 Genome sequencing	Primary submission	None	A-1691	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
113	322242	PRJNA322242	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1486	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1486 Genome sequencing	Primary submission	None	A-1486	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
114	322240	PRJNA322240	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-986	Whole	Genome	Monoisolate	Yersinia pestis strain:M-986 Genome sequencing	Primary submission	None	M-986	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
115	322239	PRJNA322239	Genome sequencing and assembly	whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1249	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1249 Genome sequencing	Primary submission	None	A-1249	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
116	322145	PRJNA322145	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:517	Whole	Genome	Monoisolate	Yersinia pestis strain:517 Genome sequencing	Primary submission	None	517	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
117	322137	PRJNA322137	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1773	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1773 Genome sequencing	Primary submission	None	M-1773	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
118	322135	PRJNA322135	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1809	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1809 Genome sequencing	Primary submission	None	A-1809	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
119	322131	PRJNA322131	Genome sequencing and assembly	whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1524	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1524 Genome sequencing	Primary submission	None	M-1524	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
120	322122	PRJNA322122	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1920	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1920 Genome sequencing	Primary submission	None	A-1920	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
121	322120	PRJNA322120	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1448	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1448 Genome sequencing	Primary submission	None	M-1448	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
122	322117	PRJNA322117	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1825	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1825 Genome sequencing	Primary submission	None	A-1825	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
123	322116	PRJNA322116	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:2751-55	Whole	Genome	Monoisolate	Yersinia pestis strain:2751-55 Genome sequencing	Primary submission	None	2751-55	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe	None
124	315671	PRJNA315671	Transcriptome or Gene expression	Yersinia pestis - THP–1 cell infection and differential gene expression study	Sequencing	Yersinia pestis strain:EHC	Whole	Transcriptome	Multiisolate	Yersinia pestis & THP-1 Transcriptome	Primary submission	EHC	EHC	Bacteria	632	2016/03/18 00:00	yes	SRA/Trace	Los Alamos National Laboratory	None
