id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSampleType	BioSamplePackage	BioSampleInfraspecies	BioSampleOrganism	BioSampleOrganismAlt	BioSampleSubSpecies	BioSampleStrain	BioSampleTaxonomyID	BioSampleBiovar	BioSampleSerovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleHostHealthState	BioSampleIsolateNameAlias	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleSubmissionDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
346	8161926	SAMN08161926		PRJNA421720	SRS2750373	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3755		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3755	632			1969	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:10.193	2019-05-23T16:10:10.884	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
347	8161924	SAMN08161924		PRJNA421720	SRS2750375	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3753		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3753	632			1969	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:10.163	2019-05-23T16:10:10.840	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
348	8161921	SAMN08161921		PRJNA421720	SRS2750394	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3747		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3747	632			1969	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:10.116	2019-05-23T16:10:10.781	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
349	8161920	SAMN08161920		PRJNA421720	SRS2750445	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3746		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3746	632			1969	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:10.100	2019-05-23T16:10:10.744	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
350	8161916	SAMN08161916		PRJNA421720	SRS2750487	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3737		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3737	632			1969	Brazil:Pernambuco,Araripina,Exu,Sitio Floresta	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:10.013	2019-05-23T16:10:10.666	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
351	8161904	SAMN08161904		PRJNA421720	SRS2750369	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3710		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3710	632			1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.840	2019-05-23T16:10:10.588	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
352	8161903	SAMN08161903		PRJNA421720	SRS2750358	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3709		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3709	632			1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.826	2019-05-23T16:10:10.525	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
353	8161902	SAMN08161902		PRJNA421720	SRS2750366	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3708		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3708	632			1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.810	2019-05-23T16:10:10.480	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
354	8161900	SAMN08161900		PRJNA421720	SRS2750422	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3706		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3706	632			1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.783	2019-05-23T16:10:10.415	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
355	8161898	SAMN08161898		PRJNA421720	SRS2750475	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3704		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3704	632			1968	Brazil:Pernambuco,Araripina,Exu,Sitio Batedor	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.753	2019-05-23T16:10:10.356	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
356	8161897	SAMN08161897		PRJNA421720	SRS2750477	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3703		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3703	632			1968	Brazil:Pernambuco,Araripina,Exu,Sitio Queimada Grande	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.740	2019-05-23T16:10:10.317	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
357	8161892	SAMN08161892		PRJNA421720	SRS2750470	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3696		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3696	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.670	2019-05-23T16:10:10.258	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
358	8161890	SAMN08161890		PRJNA421720	SRS2750472	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3693		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3693	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.643	2019-05-23T16:10:10.207	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
359	8161888	SAMN08161888		PRJNA421720	SRS2750554	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3690		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3690	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.616	2019-05-23T16:10:10.160	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
360	8161885	SAMN08161885		PRJNA421720	SRS2750583	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3685		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3685	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.573	2019-05-23T16:10:10.112	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
361	8161882	SAMN08161882		PRJNA421720	SRS2750556	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3682		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3682	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Barra Nova	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.526	2019-05-23T16:10:10.057	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
362	8161880	SAMN08161880		PRJNA421720	SRS2750663	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3680		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3680	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.500	2019-05-23T16:10:10.003	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
363	8161879	SAMN08161879		PRJNA421720	SRS2750658	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3679		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3679	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.486	2019-05-23T16:10:09.955	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
364	8161878	SAMN08161878		PRJNA421720	SRS2750664	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3678		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3678	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.470	2019-05-23T16:10:09.903	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
365	8161876	SAMN08161876		PRJNA421720	SRS2750656	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3668		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3668	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.443	2019-05-23T16:10:09.855	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
366	8161874	SAMN08161874		PRJNA421720	SRS2750653	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3661		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3661	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Queimada Grande	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.416	2019-05-23T16:10:09.808	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
367	8161872	SAMN08161872		PRJNA421720	SRS2750650	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3659		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3659	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.386	2019-05-23T16:10:09.764	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
368	8161869	SAMN08161869		PRJNA421720	SRS2750649	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3655		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3655	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.343	2019-05-23T16:10:09.713	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
369	8161867	SAMN08161867		PRJNA421720	SRS2750710	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3652		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3652	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.313	2019-05-23T16:10:09.658	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
370	8161866	SAMN08161866		PRJNA421720	SRS2750707	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3651		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3651	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.300	2019-05-23T16:10:09.611	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
371	8161865	SAMN08161865		PRJNA421720	SRS2750706	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3650		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3650	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.283	2019-05-23T16:10:09.568	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
372	8161863	SAMN08161863		PRJNA421720	SRS2750716	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3648		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3648	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.253	2019-05-23T16:10:09.518	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
373	8161861	SAMN08161861		PRJNA421720	SRS2750715	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3646		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3646	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.223	2019-05-23T16:10:09.466	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
374	8161860	SAMN08161860		PRJNA421720	SRS2750703	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3640		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3640	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.200	2019-05-23T16:10:09.424	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
375	8161857	SAMN08161857		PRJNA421720	SRS2750381	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3637		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3637	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.126	2019-05-23T16:10:09.367	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
376	8161856	SAMN08161856		PRJNA421720	SRS2750428	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3636		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3636	632			1967	Brazil:Pernambuco,Araripina,Exu,Sitio Batedor	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.113	2019-05-23T16:10:09.327	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
377	8161852	SAMN08161852		PRJNA421720	SRS2750419	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3624		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3624	632			1966	Brazil:Pernambuco,Araripina,Exu,Sitio Jose Padeiro	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.056	2019-05-23T16:10:09.267	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
378	8161851	SAMN08161851		PRJNA421720	SRS2750420	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3623		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3623	632			1966	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.040	2019-05-23T16:10:09.226	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
379	8161850	SAMN08161850		PRJNA421720	SRS2750421	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3622		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3622	632			1966	Brazil:Pernambuco,Araripina,Exu,Sitio Jose Padeiro	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:09.026	2019-05-23T16:10:09.177	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
380	8161846	SAMN08161846		PRJNA421720	SRS2750492	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3603		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3603	632			1983	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Pimenteira	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.970	2019-05-23T16:10:09.122	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
381	8161843	SAMN08161843		PRJNA421720	SRS2750562	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3597		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3597	632			1982	Brazil:Ceara,Ibiapaba,Ibiapina,Sitio Aracas	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.926	2019-05-23T16:10:09.066	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
382	8161842	SAMN08161842		PRJNA421720	SRS2750530	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3592		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3592	632			1982	Brazil:Ceara,Fortaleza,Maranguape,Sitio Santo Amaro	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.910	2019-05-23T16:10:09.016	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
383	8161841	SAMN08161841		PRJNA421720	SRS2750509	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3588		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3588	632			1979	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.896	2019-05-23T16:10:08.967	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
384	8161840	SAMN08161840		PRJNA421720	SRS2750503	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3587		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3587	632			1979	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.880	2019-05-23T16:10:08.933	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
385	8161833	SAMN08161833		PRJNA421720	SRS2750614	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3575		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3575	632			1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.783	2019-05-23T16:10:08.855	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
386	8161832	SAMN08161832		PRJNA421720	SRS2750610	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3573		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3573	632			1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Fazenda Pedra d'agua	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.770	2019-05-23T16:10:08.815	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
387	8161830	SAMN08161830		PRJNA421720	SRS2750628	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3571		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3571	632			1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Estrelas	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.743	2019-05-23T16:10:08.758	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
388	8161829	SAMN08161829		PRJNA421720	SRS2750627	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3570		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3570	632			1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Lagoa do Serrote	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.730	2019-05-23T16:10:08.723	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
389	8161824	SAMN08161824		PRJNA421720	SRS2750403	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3565		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3565	632			1982	Brazil:Ceara,Ipu,Ipueiras,Sitio Grossos	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.656	2019-05-23T16:10:08.662	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
390	8161823	SAMN08161823		PRJNA421720	SRS2750431	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3562		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3562	632			1982	Brazil:Pernambuco,Garanhuns,Caetes,Sitio Riacho Fundo	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.643	2019-05-23T16:10:08.612	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
391	8161822	SAMN08161822		PRJNA421720	SRS2750396	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3561		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3561	632			1980	Brazil:Pernambuco,Araripina,Araripina,Sitio Tamboril	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.630	2019-05-23T16:10:08.563	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
392	8161821	SAMN08161821		PRJNA421720	SRS2750397	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3560		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3560	632			1980	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Gito	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.616	2019-05-23T16:10:08.516	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
393	8161819	SAMN08161819		PRJNA421720	SRS2750401	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3558		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3558	632			1980	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Salgadinho	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.586	2019-05-23T16:10:08.465	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
394	8161818	SAMN08161818		PRJNA421720	SRS2750708	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3557		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3557	632			1980	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.573	2019-05-23T16:10:08.416	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
395	8161817	SAMN08161817		PRJNA421720	SRS2750685	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3555		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3555	632			1979	Brazil:Ceara,Ipu,Ipu,Sitio Taboca	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.560	2019-05-23T16:10:08.373	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
396	8161815	SAMN08161815		PRJNA421720	SRS2750693	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3549		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3549	632			1979	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Taua	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.533	2019-05-23T16:10:08.333	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
397	8161810	SAMN08161810		PRJNA421720	SRS2750684	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3543		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3543	632			1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Salgada	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.463	2019-05-23T16:10:08.275	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
398	8161809	SAMN08161809		PRJNA421720	SRS2750683	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3542		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3542	632			1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Boqueirao	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.450	2019-05-23T16:10:08.223	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
399	8161808	SAMN08161808		PRJNA421720	SRS2750571	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3541		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3541	632			1979	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Estivas	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.436	2019-05-23T16:10:08.091	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
400	8161807	SAMN08161807		PRJNA421720	SRS2750567	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3540		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3540	632			1979	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Cha do Vento	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.420	2019-05-23T16:10:08.044	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
401	8161795	SAMN08161795		PRJNA421720	SRS2750451	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3526		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3526	632			1978	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Jerico	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.253	2019-05-23T16:10:07.966	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
402	8161793	SAMN08161793		PRJNA421720	SRS2750449	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3524		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3524	632			1978	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Barbalho	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:08.223	2019-05-23T16:10:07.908	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
403	8161769	SAMN08161769		PRJNA421720	SRS2750617	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3497		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3497	632			1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:07.830	2019-05-23T16:10:07.785	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
404	8161768	SAMN08161768		PRJNA421720	SRS2750522	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3496		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3496	632			1975	Brazil:Pernambuco,Araripina,Exu,Sitio Cascavel	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:07.813	2019-05-23T16:10:07.748	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
405	8161753	SAMN08161753		PRJNA421720	SRS2750387	Pathogen: clinical or host-associated sample from Yersinia pestis	Yp3478		Pathogen.cl.1.0		Yersinia pestis	Yersinia pestis		Yp3478	632			1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Alagadico	Bolomys lasiurus	plague			NA		NA		2017-12-11T15:41:07.563	2019-05-23T16:10:07.649	2018-12-13T00:00:00.000	Northern Arizona University	KEEP: Undetermined Modern
