BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN08161702		PRJNA421720	SRS2750652	Yp3372		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161697		PRJNA421720	SRS2750734	Yp3356		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Curicaca	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161695		PRJNA421720	SRS2750737	Yp3350		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161694		PRJNA421720	SRS2750754	Yp3349		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161693		PRJNA421720	SRS2750736	Yp3346		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161690		PRJNA421720	SRS2750759	Yp3340		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161688		PRJNA421720	SRS2750406	Yp3337		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161686		PRJNA421720	SRS2750405	Yp3335		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161684		PRJNA421720	SRS2750416	Yp3332		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161669		PRJNA421720	SRS2750546	Yp3297		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Brejo	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161656		PRJNA421720	SRS2750705	Yp3248		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161654		PRJNA421720	SRS2750687	Yp3245		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161653		PRJNA421720	SRS2750686	Yp3241		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161649		PRJNA421720	SRS2750712	Yp3231		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161648		PRJNA421720	SRS2750352	Yp3230		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161645		PRJNA421720	SRS2750359	Yp3227		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161643		PRJNA421720	SRS2750354	Yp3222		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161641		PRJNA421720	SRS2750363	Yp3213		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161640		PRJNA421720	SRS2750362	Yp3208		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161639		PRJNA421720	SRS2750365	Yp3204		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161636		PRJNA421720	SRS2750626	Yp3200		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161635		PRJNA421720	SRS2750645	Yp3197		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161633		PRJNA421720	SRS2750625	Yp3192		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alto	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161631		PRJNA421720	SRS2750651	Yp3190		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161629		PRJNA421720	SRS2750644	Yp3185		1966	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN05017638				M-1448	Medievalis	1990	Kazakhstan:West Kazakhstan Region:Focus 17	Spermophilus pygmaeus		Missing		KEEP: Assembly Modern
SAMN04376037				M-1484	Medievalis	1992	Russia:Astrakhan Oblast	Spermophilus pygmaeus		missing		KEEP: Assembly Modern
SAMN04376023				C-791	Medievalis	2003	Russia:Republic of Dagestan:Babayurtovsky District	Spermophilus pygmaeus		missing		KEEP: Assembly Modern
SAMN03145064		PRJNA240085	SRS1025033	El Dorado	Orientalis	2002	United States of America:New Mexico:Sante Fe County	Homo sapiens		Unknown		KEEP: Assembly Modern
SAMN02999506		PRJNA257008	SRS880754	ZE94-2122	Orientalis	1994	Zimbabwe:Midlands:Country centroid	Homo sapiens		Missing		KEEP: Assembly Modern
SAMN02640305				1330		unknown	unknown	unknown		unknown		REMOVE: Not Yersinia pestis
SAMN02179219			SRS430175			2011	China			missing		REMOVE: Lab manipulation
SAMN02179218			SRS430174			2011	China			missing		REMOVE: Lab manipulation
SAMN02179217			SRS430170			2011	China			missing		REMOVE: Lab manipulation
SAMN02179216			SRS430163			2011	China			missing		REMOVE: Lab manipulation
SAMN10228585		PRJNA231221	SRS4108717	FDAARGOS_605		1969	Bolivia:La Paz	UCC Isolate		Not applicable		KEEP: Assembly Modern
SAMN10228584		PRJNA231221	SRS4108716	FDAARGOS_604	Orientalis	1957	Indonesia:Central Java:Gempolan	Rattus rattus diardi		Not applicable		KEEP: Assembly Modern
SAMN10228583		PRJNA231221	SRS3947400	FDAARGOS_603			Japan	UCC strain		Not applicable		REMOVE: Assembly Modern No Date
SAMN10228582		PRJNA231221	SRS4108715	FDAARGOS_602				UCC strain		Not applicable		REMOVE: Assembly Modern No Date
SAMN10228581		PRJNA231221	SRS3947399	FDAARGOS_601		1954	Democratic Republic of the Congo	UCC strain		Not applicable		KEEP: Assembly Modern
SAMEA5054093			ERS2865271			2018	Norway	Homo sapiens				KEEP: EAGER Ancient
SAMEA5054092			ERS2865270			2018	Norway	Homo sapiens				KEEP: EAGER Ancient
SAMEA5054091			ERS2865269			2018	Norway	Homo sapiens				KEEP: EAGER Ancient
SAMEA5054090			ERS2865268			2018	Norway	Homo sapiens				KEEP: EAGER Ancient
SAMEA5054089			ERS2865267			2018	Norway	Homo sapiens				KEEP: EAGER Ancient
SAMEA715985			ERS001372	IP674	Orientalis	1952	Turkey					KEEP: Enterobase Morelli 2010
SAMEA104443954			ERS2061896				Czech Republic					REMOVE: Not Yersinia pestis
SAMEA104281628			ERS1906606	NCTC5923		1939	Indonesia:Central Java	Vaccine				KEEP: Assembly Modern
SAMEA104233048			ERS1892066									KEEP: EAGER Ancient
SAMEA104233051			ERS1892069									KEEP: EAGER Ancient
SAMEA104233050			ERS1892068									KEEP: EAGER Ancient
SAMEA104233049			ERS1892067									KEEP: EAGER Ancient
SAMEA104233047			ERS1892065									KEEP: EAGER Ancient
SAMEA104233046			ERS1892064									KEEP: EAGER Ancient
SAMEA1705942			ERS000059	CO92	Orientalis	1992	United States of America:Colorado	Homo sapiens				REMOVE: Reference Genome
SAMEA104567043			ERS2178327									REMOVE: Not Yersinia pestis
SAMEA104210777			ERS1869795	NCTC144		1920	United Kingdom:London, Lister Institute	Guinea-pig				REMOVE: Assembly Modern Laboratory manipulation 3 strains
SAMEA104488962			ERS2106904									KEEP: EAGER Ancient
SAMEA104488961			ERS2106903									KEEP: EAGER Ancient
SAMEA104398214			ERS2016156									REMOVE: Only PacBio data available
SAMEA104398216			ERS2016158									REMOVE: Only PacBio data available
SAMEA104398215			ERS2016157									REMOVE: Only PacBio data available
SAMN11267087				16763		1978	USSR: Kerch	Homo sapiens		45.356219 N 36.467378 E		REMOVE: Not Yersinia pestis
SAMN11125798				1		1998	Russia	Homo sapiens		43.51 N 46.43 E		REMOVE: Not Yersinia pestis
SAMN11125784				286		1994	Russia	Homo sapiens		46.22 N 39.26 E		REMOVE: Not Yersinia pestis
SAMN11125768				157D		1993	Russia	Homo sapiens		42.59 N 47.30 E		REMOVE: Not Yersinia pestis
SAMN11125682				123AZ		1977	Azerbaijan	Homo sapiens		39.11 N 48.20 E		REMOVE: Not Yersinia pestis
SAMN11125653				180D		1970	Russia	Homo sapiens		42.59 N 47.30 E		REMOVE: Not Yersinia pestis
SAMN11029208				20000		2016	Russia: Rostov-on-Don, Rostov region, 344002			47.210762 N 39.701466 E		REMOVE: Not Yersinia pestis
SAMN08381346		PRJNA430987	SRS2868863			2004	China:Qinghai	Homo sapiens		32.07 N 96.52 E		KEEP: EAGER Modern
SAMN08381345		PRJNA430987	SRS2868861			2004	China:Qinghai	Homo sapiens		32.06 N 96.52 E		KEEP: EAGER Modern
SAMN08381344		PRJNA430987	SRS2868866			1997	China:Qinghai	Tibetan sheep		32.55 N 96.13 E		KEEP: EAGER Modern
SAMN08381343		PRJNA430987	SRS2868864			1997	China:Qinghai	Tibetan sheep		32.65 N 96.60 E		KEEP: EAGER Modern
SAMN08381342		PRJNA430987	SRS2868880			1997	China:Qinghai	Tibetan sheep		32.65 N 96.59 E		KEEP: EAGER Modern
SAMN08381341		PRJNA430987	SRS2868881			1988	China:Qinghai	Homo sapiens		33.17 N 94.26 E		KEEP: EAGER Modern
SAMN08381340		PRJNA430987	SRS2868869			1979	China:Qinghai	Homo sapiens		32.66 N 96.62 E		KEEP: EAGER Modern
SAMN08381339		PRJNA430987	SRS2868868			1979	China:Qinghai	Tibetan sheep		32.66 N 96.60 E		KEEP: EAGER Modern
SAMN08381338		PRJNA430987	SRS2868954			1979	China:Qinghai	Tibetan sheep		32.65 N 96.61 E		KEEP: EAGER Modern
SAMN08381337		PRJNA430987	SRS2868882			1979	China:Qinghai	Tibetan sheep		32.69 N 96.60 E		KEEP: EAGER Modern
SAMN08381336		PRJNA430987	SRS2868885			1997	China:Qinghai	Homo sapiens		32.55 N 96.14 E		KEEP: EAGER Modern
SAMN08381335		PRJNA430987	SRS2868886			2010	China:Qinghai	M. himalayana		32.35 N 97.25 E		KEEP: EAGER Modern
SAMN08381334		PRJNA430987	SRS2868884			1997	China:Qinghai	Tibetan sheep		32.56 N 96.15 E		KEEP: EAGER Modern
SAMN08381333		PRJNA430987	SRS2868883			1996	China:Qinghai	M. himalayana		32.56 N 96.14 E		KEEP: EAGER Modern
SAMN08381332		PRJNA430987	SRS2868890			1997	China:Qinghai	M. himalayana		32.56 N 96.16 E		KEEP: EAGER Modern
SAMN08381331		PRJNA430987	SRS2868889			1996	China:Qinghai	M. himalayana		32.56 N 96.15 E		KEEP: EAGER Modern
SAMN08381330		PRJNA430987	SRS2868888			1996	China:Qinghai	M. himalayana		32.56 N 96.15 E		KEEP: EAGER Modern
SAMN08381329		PRJNA430987	SRS2868887			1989	China:Qinghai	Homo sapiens		33.06 N 95.17 E		KEEP: EAGER Modern
SAMN08381328		PRJNA430987	SRS2868867			1977	China:Qinghai	M. himalayana		32.60 N 95.30 E		KEEP: EAGER Modern
SAMN08381327		PRJNA430987	SRS2868865			1977	China:Qinghai	M. himalayana		32.60 N 95.30 E		KEEP: EAGER Modern
SAMN08381326		PRJNA430987	SRS2868857			2005	China:Qinghai	M. himalayana		34.30 N 95.49 E		KEEP: EAGER Modern
SAMN08381325		PRJNA430987	SRS2868856			2003	China:Qinghai	Tibetan sheep		33.89 N 95.33 E		KEEP: EAGER Modern
SAMN08381324		PRJNA430987	SRS2868855			1983	China:Qinghai	Homo sapiens		34.49 N 100.21 E		KEEP: EAGER Modern
SAMN08381323		PRJNA430987	SRS2868854			1996	China:Qinghai	M. himalayana		37.38 N 97.34 E		KEEP: EAGER Modern
SAMN08381322		PRJNA430987	SRS2868862			1978	China:Qinghai	M. himalayana		34.48 N 100.23 E		KEEP: EAGER Modern
SAMN08381321		PRJNA430987	SRS2868860			1996	China:Qinghai	M. himalayana		37.38 N 97.34 E		KEEP: EAGER Modern
SAMN08381320		PRJNA430987	SRS2868859			1975	China:Qinghai	M. himalayana		32.65 N 96.62 E		KEEP: EAGER Modern
SAMN08381319		PRJNA430987	SRS2868858			1996	China:Qinghai	M. himalayana		37.38 N 97.37 E		KEEP: EAGER Modern
SAMN08381318		PRJNA430987	SRS2868871			1996	China:Qinghai	Tibetan sheep		37.38 N 97.34 E		KEEP: EAGER Modern
SAMN08381317		PRJNA430987	SRS2868870			1998	China:Qinghai	Tibetan sheep		32.99 N 97.01 E		KEEP: EAGER Modern
SAMN08381316		PRJNA430987	SRS2868873			2005	China:Qinghai	M. himalayana		33.03 N 96.80 E		KEEP: EAGER Modern
SAMN08381315		PRJNA430987	SRS2868872			2005	China:Qinghai	Tibetan sheep		33.03 N 96.80 E		KEEP: EAGER Modern
SAMN08381314		PRJNA430987	SRS2868875			2005	China:Qinghai	Tibetan goat		33.03 N 96.80 E		KEEP: EAGER Modern
SAMN08381313		PRJNA430987	SRS2868874			2005	China:Qinghai	Tibetan sheep		33.03 N 96.80 E		KEEP: EAGER Modern
SAMN08381312		PRJNA430987	SRS2868877			1980	China:Qinghai	Homo sapiens		32.83 N 97.15 E		KEEP: EAGER Modern
SAMN08381311		PRJNA430987	SRS2868876			1975	China:Qinghai	Homo sapiens		32.89 N 96.51 E		KEEP: EAGER Modern
SAMN08381310		PRJNA430987	SRS2868878			1975	China:Qinghai	Tibetan sheep		32.85 N 96.58 E		KEEP: EAGER Modern
SAMN08381309		PRJNA430987	SRS2868879			1975	China:Qinghai	Tibetan goat		32.91 N 96.58 E		KEEP: EAGER Modern
SAMEA4354665			ERS1266114									KEEP: EAGER Ancient
SAMEA4368873			ERS1280322	Algeria3	Orientalis	2000-2016	Algeria:MSila:Chott el Hodna	Soil				KEEP: Assembly Modern
SAMEA3937656			ERS1124790									KEEP: EAGER Ancient
SAMEA3937655			ERS1124789									KEEP: EAGER Ancient
SAMEA3937654			ERS1124788									KEEP: EAGER Ancient
SAMEA3937653			ERS1124787									KEEP: EAGER Ancient
SAMEA3713715			ERS1020864									KEEP: EAGER Ancient
SAMEA3713714			ERS1020863									KEEP: EAGER Ancient
SAMEA3713713			ERS1020862									KEEP: EAGER Ancient
SAMEA3713712			ERS1020861									KEEP: EAGER Ancient
SAMEA3713711			ERS1020860									KEEP: EAGER Ancient
SAMEA3673143			ERS980292	Algeria3	Orientalis	2000-2016	Algeria:MSila:Chott el Hodna	Soil				KEEP: Assembly Modern
SAMN07501781		PRJNA397830	SRS2428289	614F		missing	China: Qinghai					REMOVE: Lab manipulation
SAMN07488727		PRJNA397830	SRS2422472	S88		missing	China: Qinghai					REMOVE: Lab manipulation
SAMN07488721		PRJNA397830	SRS2422471	S56		missing	China: Qinghai					REMOVE: Lab manipulation
SAMN06209181		PRJNA360325		2514		2005	China:Xinjiang:Alashankou	Rhombomys opimus		not collected		KEEP: Assembly Modern
SAMN06209180		PRJNA360325		2513		2005	China:Xinjiang:Alashankou	Rhombomys opimus		not collected		KEEP: Assembly Modern
SAMN10584523				C-615		2017	Russia	Cow		52.332806 N 38.629694 E		REMOVE: Not Yersinia pestis
SAMN10584522				C-614		2017	Russia	Cow		52.3125 N 38.474167 E		REMOVE: Not Yersinia pestis
SAMN10584495				C-613		2017	Russia	Homo sapiens		52.201111 N 39.091944 E		REMOVE: Not Yersinia pestis
SAMN10584459				C-612		2017	Russia	Homo sapiens		53.2257100 N 50.6290700 E		REMOVE: Not Yersinia pestis
SAMN10584386				N1		29-Jan-2018	Russia: Samara	cow		53.195522 N 50.101819 E		REMOVE: Not Yersinia pestis
SAMN08162038		PRJNA421720	SRS2750765	Yp3992		1986	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Paraiso	Calomys callosus		NA		KEEP: EAGER Modern
SAMN08162037		PRJNA421720	SRS2750749	Yp3990		1983	Brazil:Ceara,Baturite,Mulungu,Sitio Camara	Galea spixii wellsi		NA		KEEP: EAGER Modern
SAMN08162033		PRJNA421720	SRS2750748	Yp3981		1982	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Garrancho Velho	Pulex irritans		NA		KEEP: EAGER Modern
SAMN08162030		PRJNA421720	SRS2750746	Yp3977		1979	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	rodent		NA		KEEP: EAGER Modern
SAMN08162028		PRJNA421720	SRS2750538	Yp3974		1984	Brazil:Bahia:Feira de Santana,Feira de Santana,Fazenda Jurema I	Xenopsylla cheopis		NA		KEEP: EAGER Modern
SAMN08162027		PRJNA421720	SRS2750539	Yp3972		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08162026		PRJNA421720	SRS2750532	Yp3971		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08162021		PRJNA421720	SRS2750531	Yp3951		1979	Brazil:Pernambuco,Vale do Ipojuca,Tacaimbo,Sitio Paulista	Polygenis		NA		KEEP: EAGER Modern
SAMN08162020		PRJNA421720	SRS2750573	Yp3950		1979	Brazil:Pernambuco,Vale do Ipojuca,Sao Caitano,Sitio Campo Alegre	Polygenis		NA		KEEP: EAGER Modern
SAMN08162019		PRJNA421720	SRS2750670	Yp3949		1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Lagoa do Almeida	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08162018		PRJNA421720	SRS2750555	Yp3947		1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Boqueirao	Polygenis		NA		KEEP: EAGER Modern
SAMN08162015		PRJNA421720	SRS2750437	Yp3925		1975	Brazil:Pernambuco,Araripina,Granito,Sitio Catumbi	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08162014		PRJNA421720	SRS2750409	Yp3924		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Vicente	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08162013		PRJNA421720	SRS2750417	Yp3905		1975	Brazil:Pernambuco,Araripina,Ipubi,Povoado Serra Branca	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08162012		PRJNA421720	SRS2750413	Yp3901		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Badreci	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08162010		PRJNA421720	SRS2750426	Yp3892		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Cachoeira	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08162009		PRJNA421720	SRS2750412	Yp3884		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Cana Mansa	Polygenis		NA		KEEP: EAGER Modern
SAMN08162007		PRJNA421720	SRS2750547	Yp3867		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio	Polygenis		NA		KEEP: EAGER Modern
SAMN08162002		PRJNA421720	SRS2750581	Yp3858		1974	Brazil:Ceara,Cariri,Santana do Cariri,Sitio Serra da Palmeira	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08162001		PRJNA421720	SRS2750566	Yp3856		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Polygenis		NA		KEEP: EAGER Modern
SAMN08162000		PRJNA421720	SRS2750553	Yp3855		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Galea spixii wellsi		NA		KEEP: EAGER Modern
SAMN08161998		PRJNA421720	SRS2750459	Yp3853		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161997		PRJNA421720	SRS2750424	Yp3852		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Polygenis		NA		KEEP: EAGER Modern
SAMN08161992		PRJNA421720	SRS2750436	Yp3847		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161991		PRJNA421720	SRS2750440	Yp3845		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Polygenis		NA		KEEP: EAGER Modern
SAMN08161989		PRJNA421720	SRS2750433	Yp3843		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Polygenis		NA		KEEP: EAGER Modern
SAMN08161988		PRJNA421720	SRS2750379	Yp3842		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Polygenis		NA		KEEP: EAGER Modern
SAMN08161981		PRJNA421720	SRS2750391	Yp3833		1972	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa da Rapadura	Polygenis		NA		KEEP: EAGER Modern
SAMN08161980		PRJNA421720	SRS2750435	Yp3832		1972	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Pimenteira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161979		PRJNA421720	SRS2750441	Yp3830		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Jose	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161978		PRJNA421720	SRS2750659	Yp3829		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sussuanha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161977		PRJNA421720	SRS2750689	Yp3828		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Benedito	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161976		PRJNA421720	SRS2750666	Yp3826		1971	Brazil:Ceara,Ipu,Ipueiras,Povoado America	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161975		PRJNA421720	SRS2750665	Yp3825		1971	Brazil:Ceara,Ipu,Ipu,Sitio Mato Grosso	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161974		PRJNA421720	SRS2750694	Yp3824		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Serra da Matinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161973		PRJNA421720	SRS2750676	Yp3823		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Timbauba	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161972		PRJNA421720	SRS2750690	Yp3822		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Polygenis		NA		KEEP: EAGER Modern
SAMN08161969		PRJNA421720	SRS2750662	Yp3819		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Pocos	Polygenis		NA		KEEP: EAGER Modern
SAMN08161966		PRJNA421720	SRS2750615	Yp3815		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Polygenis		NA		KEEP: EAGER Modern
SAMN08161965		PRJNA421720	SRS2750601	Yp3813		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Aracaju	Polygenis		NA		KEEP: EAGER Modern
SAMN08161961		PRJNA421720	SRS2750597	Yp3809		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Polygenis		NA		KEEP: EAGER Modern
SAMN08161959		PRJNA421720	SRS2750606	Yp3807		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Baixio do Meio	Polygenis		NA		KEEP: EAGER Modern
SAMN08161958		PRJNA421720	SRS2750491	Yp3806		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Polygenis		NA		KEEP: EAGER Modern
SAMN08161957		PRJNA421720	SRS2750760	Yp3805		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Polygenis		NA		KEEP: EAGER Modern
SAMN08161956		PRJNA421720	SRS2750709	Yp3803		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Pamonha	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161955		PRJNA421720	SRS2750761	Yp3802		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes	Polygenis		NA		KEEP: EAGER Modern
SAMN08161954		PRJNA421720	SRS2750506	Yp3801		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Paraiso	Polygenis		NA		KEEP: EAGER Modern
SAMN08161952		PRJNA421720	SRS2750478	Yp3799		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Engenho Velho	Polygenis		NA		KEEP: EAGER Modern
SAMN08161951		PRJNA421720	SRS2750482	Yp3797		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes	Polygenis		NA		KEEP: EAGER Modern
SAMN08161950		PRJNA421720	SRS2750480	Yp3795		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Batinga	Polygenis		NA		KEEP: EAGER Modern
SAMN08161949		PRJNA421720	SRS2750479	Yp3794		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Batinga	Polygenis		NA		KEEP: EAGER Modern
SAMN08161948		PRJNA421720	SRS2750508	Yp3793		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes	Polygenis		NA		KEEP: EAGER Modern
SAMN08161945		PRJNA421720	SRS2750444	Yp3790		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Polygenis		NA		KEEP: EAGER Modern
SAMN08161940		PRJNA421720	SRS2750442	Yp3785		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Polygenis		NA		KEEP: EAGER Modern
SAMN08161936		PRJNA421720	SRS2750724	Yp3774		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande	Ornithodoros		NA		KEEP: EAGER Modern
SAMN08161933		PRJNA421720	SRS2750743	Yp3765		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Bugao	Polygenis		NA		KEEP: EAGER Modern
SAMN08161932		PRJNA421720	SRS2750728	Yp3763		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Polygenis		NA		KEEP: EAGER Modern
SAMN08161931		PRJNA421720	SRS2750732	Yp3762		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Bugao	Polygenis		NA		KEEP: EAGER Modern
SAMN08161930		PRJNA421720	SRS2750726	Yp3761		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Novo	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161929		PRJNA421720	SRS2750741	Yp3759		1969	Brazil:Pernambuco,Araripina,Ipubi,Sitio Serra Anastacio Barbosa	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161928		PRJNA421720	SRS2750371	Yp3757		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Gamba	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161927		PRJNA421720	SRS2750386	Yp3756		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Luiz Ferreira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161925		PRJNA421720	SRS2750446	Yp3754		1969	Brazil:Pernambuco,Araripina,Ipubi,Sitio Serra Janoca	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161923		PRJNA421720	SRS2750380	Yp3752		1969	Brazil:Pernambuco,Salgueiro,Sao Jose do Belmonte,Sitio Baixio Velho	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161922		PRJNA421720	SRS2750377	Yp3749		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Pamonha	Polygenis		NA		KEEP: EAGER Modern
