BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleOrganism	BioSampleSRAAccession	BioSampleAccessionSecondary	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleComment
SAMN02442694		Justinian		SRS514391					
SAMN02442695		Justinian		SRS514392					
SAMN02442696		Justinian		SRS514393					
SAMN02442697		Justinian		SRS514395					
SAMN02442698		Justinian		SRS514397					
SAMN02442699		Justinian		SRS514398					
SAMN02442700		Justinian		SRS514399					
SAMN02442701		Justinian		SRS514400					
SAMN02442702		Justinian		SRS514401					
SAMN02442703		Justinian		SRS514402					
SAMN02442704		Justinian		SRS514403					
SAMN02442705		Justinian		SRS514404					
SAMN02442706		Justinian		SRS514423					
SAMN02442707		Justinian		SRS514424					
SAMN02442708		Justinian		SRS514425					
SAMN02442709		Justinian		SRS514426					
SAMN02442710		Justinian		SRS514427					
SAMN02442711		Justinian		SRS514429					
SAMN02442712		Justinian		SRS514430					
SAMN02442713		Justinian		SRS514431					
SAMN02442714		Justinian		SRS514432					
SAMN02442715		Justinian		SRS514435					
SAMN02442716		Justinian		SRS514436					
SAMN02442717		Justinian		SRS514437					
SAMN02442718		Justinian		SRS514438					
SAMN02442719		Justinian		SRS514439					
SAMN02442720		Justinian		SRS514440					
SAMN02442721		Justinian		SRS514441					
SAMN02442722		Justinian		SRS514442					
SAMN02442723		Justinian		SRS514443					
SAMN02442724		Justinian		SRS514444					
SAMN02442725		Justinian		SRS514505					
SAMN02442726		Justinian		SRS514506					
SAMN02442727		Justinian		SRS514507					
SAMN02442728		Justinian		SRS514508					
SAMN02602918		548	Brucella melitensis 548			04-Sep-48	Russia: Saratov region	Ovis aries	REMOVE: Not Yersinia pestis
SAMN02640258			Oropsylla silantiewi	SRS557313		12-Dec	"China: Huzhu County, Qinghai"	Marmota himalayana	REMOVE: Not Yersinia pestis
SAMN02640305		1330	Brucella suis 1330			unknown	unknown	unknown	REMOVE: Not Yersinia pestis
SAMN02650267		C-554	Brucella melitensis			16-Jul-12	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN02650270		C-555	Brucella melitensis			18-Jul-12	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN02690730				SRS576846					
SAMN02690731				SRS576847					
SAMN02690732				SRS576848					
SAMN02690733				SRS576849					
SAMN02690734				SRS576850					
SAMN02690735				SRS576851					
SAMN02690736				SRS576852					
SAMN02690737				SRS576853					
SAMN02690738				SRS576854					
SAMN02690739				SRS576855					
SAMN02713604		VKMV-2020D	Lactobacillus acidophilus			11-Jan-88	Russia: Rostov-on-Don		REMOVE: Not Yersinia pestis
SAMN02727742		C-558	Brucella melitensis			18-Mar-13	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN02911891		RND81	Vibrio cholerae			09-Jul-14	Russia		REMOVE: Not Yersinia pestis
SAMN03436878		M818	Vibrio cholerae			1970	"Russia: Saratov, Balakovo"	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN03797527		C-567	Brucella melitensis			2014	Russia: The Republic of Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN03860172		C-568	Brucella melitensis			2014	Russia: The Republic of Kalmykia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN03860321		C-569	Brucella melitensis			2014	Russia: The Republic of Kalmykia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN03860322		C-570	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN03860328		C-571	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN03860330		C-572	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN03860331		C-573	Brucella melitensis			2014	Russia: Stavropol region	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN04023224		39	Vibrio cholerae O1 biovar El Tor			2011	Ukraine: Mariupol		REMOVE: Not Yersinia pestis
SAMN04023225		56	Vibrio cholerae O1 biovar El Tor			1994	Ukraine: Mariupol		REMOVE: Not Yersinia pestis
SAMN04023226		43	Vibrio cholerae O1 biovar El Tor			1994	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN04023227		31	Vibrio cholerae O1 biovar El Tor			2011	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN04192112		GF41	Candida sojae			14-Jan	Brazil: Alagoas	Diatraea saccharalis	REMOVE: Not Yersinia pestis
SAMN04413737		M299	Vibrio cholerae			1965	Turkmenistan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN04413738		P13762	Vibrio cholerae			1988	Uzbekistan: Tashkent	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN04417215		M1275	Vibrio cholerae O1 biovar El Tor			1993	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN04417245		M888	Vibrio cholerae			1970	Russia: Astrakhan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN04417250		M1275D	Vibrio cholerae O1 biovar El Tor			20-Oct-15	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN05162505			crab metagenome	SRS1539749		13-Feb	USA: Florida	Chyroptochiridae	REMOVE: Not Yersinia pestis
SAMN05162506			coral metagenome	SRS1539748		13-Feb	USA: Florida	Diploria labyrinthiformis	REMOVE: Not Yersinia pestis
SAMN05823553		KIV-L	Brucella melitensis			2014	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN05823560		I-349	Brucella melitensis			1999	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN05853556		V-120	Burkholderia mallei			1985	Russia: Ulan-Ude	horse	REMOVE: Not Yersinia pestis
SAMN06075483		I-216	Brucella melitensis			1970	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06075487		I-338	Brucella melitensis			1993	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06711158		617	Vibrio cholerae			missing	Ukraine: Piatikhatskii district	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06768128		5	Vibrio cholerae			16-Sep	Ukraine: Zaporizhia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06768129		28	Vibrio cholerae			16-Sep	Ukraine: Krivoy Rog	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06768130		102	Vibrio cholerae			16-Sep	Ukraine: Kerch	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06768131		114	Vibrio cholerae			16-Sep	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06768132		147	Vibrio cholerae			16-Sep	Ukraine: Yalta	missing	REMOVE: Not Yersinia pestis
SAMN06768133		89	Vibrio cholerae			16-Sep	Ukraine: Yalta	missing	REMOVE: Not Yersinia pestis
SAMN06768135		223	Vibrio cholerae			not collected	Ukraine: Nizhnie Serogozy	missing	REMOVE: Not Yersinia pestis
SAMN06768535		155	Vibrio cholerae			not collected	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06806438		85	Vibrio cholerae			not collected	Ukraine: Berdiansk	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06806439		2403	Vibrio cholerae			not collected	Ukraine: Odessa	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06806440		433	Vibrio cholerae			not collected	Russia: Sochi	missing	REMOVE: Not Yersinia pestis
SAMN06806481		M1030	Vibrio cholerae			not collected	Turkmenistan: Yoloten	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06806559		M1344	Vibrio cholerae			not collected	Russia: Kazan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06806560		M1509	Vibrio cholerae			not collected	Russia: Moscow	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06806563		34Kayum	Vibrio cholerae			not collected	Afghanistan: Kabul	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN06806565		M1337	Vibrio cholerae			not collected	Russia: Astrakhan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07192612		P-18748	Vibrio cholerae			2004	Russia: Sochi	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07192613		P-18778	Vibrio cholerae			2005	Russia: Rostov-on-Done	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07498373		I-160	Brucella melitensis			1961	Russia	Ovis aries	REMOVE: Not Yersinia pestis
SAMN07498437		I-280	Brucella melitensis			1983	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07510711		I-194	Brucella melitensis			1965	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07510723		I-340	Brucella melitensis			1995	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07510738		I-370	Brucella melitensis			2010	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN07510740		I-308	Brucella melitensis			1986	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08395532		5879	Vibrio cholerae			1972	Russia: Taganrog	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08721838		2044	Vibrio cholerae			1966	Iraq: Bagdad	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08731626		20-a_11	Vibrio cholerae			1995	Ukraine: Mykolaiv Oblast	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08734606		186	Vibrio cholerae			2011	Ukraine: Mariupol	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08741621		M1425	Vibrio cholerae			2003	Russia: Perm	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08741622		2613	Vibrio cholerae			2015	Russia: Elista	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08741624		2687	Vibrio cholerae			2015	Russia: Elista		REMOVE: Not Yersinia pestis
SAMN08741626		2688	Vibrio cholerae			2015	Russia: Elista		REMOVE: Not Yersinia pestis
SAMN08741628		124	Vibrio cholerae			2015	Russia: Elista		REMOVE: Not Yersinia pestis
SAMN08741629		M1332	Vibrio cholerae			2000	Russia: Chelyabinsk	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN08741633		8	Vibrio cholerae			2014	Russia: Elista		REMOVE: Not Yersinia pestis
SAMN08741634		2843	Vibrio cholerae			2016	Russia: Elista		REMOVE: Not Yersinia pestis
SAMN08741635		3178	Vibrio cholerae			2017	Russia: Elista		REMOVE: Not Yersinia pestis
SAMN08999467		Ogawa 18963	Vibrio cholerae O1 biovar El Tor			2007	Russia: Rostov-on-Don	missing	REMOVE: Not Yersinia pestis
SAMN08999468		9507	Vibrio cholerae			1974	Russia: Rostov-on-Don	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09104650		41D	Vibrio cholerae			1998-10-17	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09104938		169D	Vibrio cholerae			1993-07-15	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09104983		1270D	Vibrio cholerae			1994-08-20	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09111775		10213D	Vibrio cholerae			1994-10-18	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09111788		16241D	Vibrio cholerae			1994	Russia: Dagestan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09245989		8600	Shigella sonnei			2013-10-27	missing	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09397111		IP2666pIB1	Yersinia pseudotuberculosis	SRS3938234		01-Jan-18	USA: Santa Cruz		REMOVE: Not Yersinia pestis
SAMN09464363		4811	Burkholderia pseudomallei	SRS3557496		17-Oct	Viet Nam		REMOVE: Not Yersinia pestis
SAMN09464364		1701	Burkholderia pseudomallei			17-Mar	Viet Nam	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09464365		4802R	Burkholderia pseudomallei	SRS3557499		18-Apr	Viet Nam		REMOVE: Not Yersinia pestis
SAMN09464366		4811R	Burkholderia pseudomallei	SRS3557495		18-Apr	Viet Nam		REMOVE: Not Yersinia pestis
SAMN09464367		PT02	Burkholderia cepacia			18-Feb	Viet Nam	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN09464368		4802	Burkholderia pseudomallei	SRS3557498		17-Oct	Viet Nam		REMOVE: Not Yersinia pestis
SAMN10340333		9760	Vibrio cholerae			1975	Russia: Rostov-on-Don	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN10484567		Jan-81	Bacillus anthracis	SRS4873497		1979	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN10584386		N1	Brucella abortus			29-Jan-18	Russia: Samara	cow	REMOVE: Not Yersinia pestis
SAMN10584459		C-612	Brucella abortus			2017	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN10584495		C-613	Brucella abortus			2017	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN10584522		C-614	Brucella abortus			2017	Russia	Cow	REMOVE: Not Yersinia pestis
SAMN10584523		C-615	Brucella abortus			2017	Russia	Cow	REMOVE: Not Yersinia pestis
SAMN11029208		20000	Vibrio cholerae			2016	"Russia: Rostov-on-Don, Rostov region, 344002"		REMOVE: Not Yersinia pestis
SAMN11125653		180D	Vibrio cholerae			1970	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN11125682		123AZ	Vibrio cholerae			1977	Azerbaijan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN11125768		157D	Vibrio cholerae			1993	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN11125784		286	Vibrio cholerae			1994	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN11125798		1	Vibrio cholerae			1998	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN11267087		16763	Vibrio parahaemolyticus			1978	USSR: Kerch	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13381877		240	Brucella abortus			01-Jan-63	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13381880		264	Brucella abortus			01-Feb-65	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13381898		293	Brucella abortus			01-Nov-67	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13381901		313	Brucella abortus			04-Mar-70	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13381912		317	Brucella abortus			02-Oct-70	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13381921		381	Brucella abortus			21-Nov-71	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13386654		390	Brucella abortus			18-May-71	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13386655		401	Brucella abortus			10-Oct-71	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13386681		403	Brucella abortus			10-Nov-71	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13386788		420	Brucella abortus			21-Aug-72	Armenia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13386803		1552	Brucella abortus			1962	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13386894		C-550	Brucella abortus			18-Jul-12	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13386896		C-551	Brucella abortus			26-Jul-12	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13386900		C-577	Brucella abortus			15-Jun-15	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13386911		I-2	Brucella abortus			29-Jun-45	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13386912		I-12	Brucella abortus			20-Nov-48	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13386970		I-29	Brucella abortus			1958	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13386990		I-34	Brucella abortus			23-Feb-58	Russia	Bos taurus	REMOVE: Not Yersinia pestis
SAMN13387000		I-181	Brucella abortus			21-Apr-82	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387006		C-587	Brucella abortus			17-Sep-15	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387026		4	Vibrio cholerae			1994	Russia	unknown	REMOVE: Not Yersinia pestis
SAMN13387472		35D	Vibrio cholerae			17-Oct-98	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387474		77N	Vibrio cholerae			missing	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387475		353Az	Vibrio cholerae			1985	Azerbaijan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387476		454	Vibrio cholerae			1990	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387477		2278	Vibrio cholerae			1987	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387501		3097Az	Vibrio cholerae			1989	Azerbaijan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387502		4017Az	Vibrio cholerae			1989	Azerbaijan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387507		5765Az	Vibrio cholerae			1991	Azerbaijan	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387509		8048	Vibrio cholerae			21-Aug-94	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387510		17332	Vibrio cholerae			1994	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387564		C-50	Vibrio cholerae			18-Aug-70	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387572		C-191	Vibrio cholerae			09-Sep-73	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387619		C-347	Vibrio cholerae			1980	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13387927		C-555	Vibrio cholerae			1994	Russia	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13430386		NA67	Burkholderia pseudomallei			2018	Viet Nam		REMOVE: Not Yersinia pestis
SAMN13430399		382F	Burkholderia thailandensis			2018	Viet Nam		REMOVE: Not Yersinia pestis
SAMN13430404		12	Burkholderia thailandensis			2018	Viet Nam		REMOVE: Not Yersinia pestis
SAMN13519304		V1502	Burkholderia pseudomallei			2018-05-18	Viet Nam	missing	REMOVE: Not Yersinia pestis
SAMN13519417		V1610	Burkholderia pseudomallei			2018-01-09	Viet Nam	missing	REMOVE: Not Yersinia pestis
SAMN13520125		V1513	Burkholderia pseudomallei			2015	Viet Nam	missing	REMOVE: Not Yersinia pestis
SAMN13544776		V1514	Burkholderia pseudomallei			2015	Viet Nam	missing	REMOVE: Not Yersinia pestis
SAMN13545402		V1607	Burkholderia pseudomallei			2016	Viet Nam	missing	REMOVE: Not Yersinia pestis
SAMN13675230		4702	Burkholderia pseudomallei			2018	Viet Nam		REMOVE: Not Yersinia pestis
SAMN13675363		4822	Burkholderia pseudomallei			2018	Viet Nam		REMOVE: Not Yersinia pestis
SAMN13698231		134	Burkholderia pseudomallei			1985	Thailand	Homo sapiens	REMOVE: Not Yersinia pestis
SAMN13698233		134K	Burkholderia pseudomallei			2019	Thailand		REMOVE: Not Yersinia pestis
SAMN08892357		139	Yersinia pestis			1966	Kazakhstan	Rhombomis opinus	REMOVE: Pairwise alignment 60 percent coverage of reference 
