BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN12715009	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/395/GCA_008630395.1_ASM863039v1	?	C-528	09-Apr-1984	Gerbillinae	Russia	?	?	?	291	4542764	?	4,280	?	302	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00	?	?
SAMN12714845	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/575/GCA_008630575.1_ASM863057v1	?	C-527	14-Nov-1984	Meriones libycus	Azerbaijan	?	?	?	227	4570871	?	4,316	?	328	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00	?	?
SAMN12714485	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/375/GCA_008630375.1_ASM863037v1	?	C-506	May-1982	Spermophilus musicus	Russia	?	?	?	381	4468260	?	4,359	?	1,527	3, 1 (5S, 16S)	2019/09/20 00:00	?	?
SAMEA5851981	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/387/395/GCA_902387395.1_UHGG_MGYG-HGUT-02476	?	?	?	?	Russia	?	?	?	3	4935125	?	?	?	?	?	2019/08/16 00:00	?	?
SAMN12011895	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/445/GCA_006376445.1_ASM637644v1	?	C-144	missing	Meriones tamariscinus	missing	?	?	?	252	4417196	?	4,166	?	306	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12138636	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/745/GCA_006546745.1_ASM654674v1	?	I_3269	1990-08-29	Ochotona pallasi	Mongolia: Bayan-Ulgij aimag, Sagsai sum	?	?	?	280	4641539	?	4,412	?	236	2, 1, 1 (5S, 16S, 23S)	2019/07/02 00:00	?	?
SAMN12138635	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/725/GCA_006546725.1_ASM654672v1	?	I_3196	1986-10-10	Ochotona pallasi	Mongolia: Govi-Altai Aimag, Altai Sum	?	?	?	193	4636541	?	4,376	?	265	2, 1, 1 (5S, 16S, 23S)	2019/07/02 00:00	?	?
SAMN12138633	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/665/GCA_006546665.1_ASM654666v1	?	I_3193	1987-05-27	Ochotona pallasi	Mongolia: Khovd Aimag, Khovd Sum	?	?	?	219	4635751	?	4,370	?	213	2, 1, 1 (5S, 16S, 23S)	2019/07/02 00:00	?	?
SAMN12131171	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/517/425/GCA_006517425.1_ASM651742v1	?	I_3068	1982-05-14	Lasiopodomys brandti	Mongolia: Uverhangaj Aimag, Zuunbayan-Ulaan Sum	?	?	?	213	4635102	?	4,371	?	205	2, 1, 1 (5S, 16S, 23S)	2019/06/30 00:00	?	?
SAMN03161124	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/775/GCA_000834775.1_ASM83477v1	SRR2175561;SRR2175560;SRR2175559	Dodson	1967	Human (male, 4.5 yrs)	USA: Tuba City, AZ	O	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	3	4777968	?	?	?	?	?	2015/02/09 00:00	2015-08-24 16:37:30;2015-08-24 16:32:39;2015-08-24 16:57:09	?
SAMN03120838	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/335/GCA_000834335.1_ASM83433v1	SRR2147692;SRR2147691;SRR2147690	Shasta	1954	?	USA: California	?	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4835409	?	?	?	?	?	2015/02/09 00:00	2015-08-11 13:18:41;2015-08-11 13:12:23;2015-08-11 13:22:46	?
SAMN02777961	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/805/GCA_000734805.1_ASM73480v1	?	231(708)	1947	?	Kyrgyzstan	?	?	?	298	4568801	4,067	?	335	?	4 (5S, 16S, 23S)	2014/07/28 00:00	?	?
SAMN02769655	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/275/GCA_000834275.1_ASM83427v1	SRR1993645;SRR1283953;SRR1283952;SRR1283951	Harbin35	1940	?	China: Manchuria	Medievalis	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4709246	?	?	?	?	?	2015/02/09 00:00	2015-05-05 22:32:58;2014-05-15 00:00:00;2014-05-15 00:00:00;2014-05-15 00:00:00	?
SAMN02404404	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/615/GCA_000169615.1_ASM16961v1	?	UG05-0454	?	?	?	Antiqua	?	?	98	4838246	?	?	?	?	?	2007/03/26 00:00	?	?
SAMN02404403	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/635/GCA_000169635.1_ASM16963v1	?	MG05-1020	?	?	?	Orientalis	?	?	80	4977609	?	?	?	?	?	2007/03/26 00:00	?	?
SAMN02404402	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/655/GCA_000169655.1_ASM16965v1	?	K1973002	?	?	?	Mediaevalis	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	73	4720694	?	?	?	?	?	2007/03/26 00:00	?	?
SAMN02404401	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/675/GCA_000169675.1_ASM16967v1	?	B42003004	?	?	?	Antiqua	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	69	4841690	?	?	?	?	?	2007/03/26 00:00	?	?
SAMN02404400	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/695/GCA_000169695.1_ASM16969v1	?	E1979001	?	?	?	Antiqua	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	75	4847813	?	?	?	?	?	2007/03/26 00:00	?	?
SAMN02404399	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/275/GCA_000170275.1_ASM17027v1	?	F1991016	?	?	?	Orientalis	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	107	4892085	?	?	?	?	?	2007/05/16 00:00	?	?
SAMN02403943	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/525/GCA_000182525.1_ASM18252v1	?	PEXU2	?	?	?	Orientalis	?	?	12	4770886	?	?	?	?	?	2009/05/08 00:00	?	?
SAMN02403942	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/505/GCA_000182505.1_ASM18250v1	?	India 195	?	?	?	Orientalis	?	?	41	4719608	?	?	?	?	?	2009/05/08 00:00	?	?
SAMN02403021	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/324/785/GCA_000324785.1_ASM32478v1	?	E1979001	?	?	?	Antiqua	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	941	4516254	?	?	?	?	?	2012/12/07 00:00	?	?
SAMN12012142	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/585/GCA_006376585.1_ASM637658v1	?	C-371	1978	Cricetulus migratorius	Russia	?	?	?	199	4502100	?	4,271	?	229	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12012133	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/575/GCA_006376575.1_ASM637657v1	?	C-284	1971	Spermophilus pygmaeus	Russia	?	?	?	259	4432033	?	4,191	?	249	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12012131	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/535/GCA_006376535.1_ASM637653v1	?	C-281	1970	Spermophilus pygmaeus	Russia	?	?	?	526	4397657	?	4,331	?	764	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12012010	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/545/GCA_006376545.1_ASM637654v1	?	C-273	1969	Microtus arvalis	Armenia	?	?	?	255	4540622	?	4,303	?	483	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12011946	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/505/GCA_006376505.1_ASM637650v1	?	C-232	1968	Microtus arvalis	Azerbaijan	?	?	?	221	4541338	?	4,310	?	484	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12011930	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/495/GCA_006376495.1_ASM637649v1	?	C-231	1968	Meriones libycus	Azerbaijan	?	?	?	235	4383063	?	4,114	?	259	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12011899	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/475/GCA_006376475.1_ASM637647v1	?	C-224	1968	Meriones libycus	Azerbaijan	?	?	?	243	4285693	?	4,021	?	962	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12011893	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/435/GCA_006376435.1_ASM637643v1	?	C-62	1959	Meriones libycus	Azerbaijan	?	?	?	268	4580853	?	4,338	?	382	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN12011892	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/415/GCA_006376415.1_ASM637641v1	?	C-11	1950	Lepus	Russia	?	?	?	217	4377414	?	4,140	?	438	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00	?	?
SAMN05017638	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/155/GCA_003086155.1_ASM308615v1	?	M-1448	1990-06-28	Spermophilus pygmaeus	Russia	?	?	?	420	4525103	?	4,293	?	565	2, 3, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN04376037	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/725/GCA_001617725.1_Yersinia_pestis_M-1484	?	M-1484	1992	Spermophilus pygmaeus	Russia	?	?	?	404	4519703	4,281	?	1,200	?	2, 1, 1 (5S, 16S, 23S)	2016/04/08 00:00	?	?
SAMN04376023	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/705/GCA_001617705.1_Yersinia_pestis_C-791	?	C-791	2003	Spermophilus pygmaeus	Russia: The Republic of Dagestan, Babaiurtovskii District	?	?	?	282	4573297	4,255	?	454	?	2, 1, 1 (5S, 16S, 23S)	2016/04/08 00:00	?	?
SAMN03145064	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/495/GCA_000834495.1_ASM83449v1	SRR2148848;SRR2148847;SRR2148846	El Dorado	2002	Homo sapiens	USA: NY: New York	O	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4838262	?	?	?	?	?	2015/02/09 00:00	2015-08-12 03:34:22;2015-08-12 03:30:14;2015-08-12 03:35:48	?
SAMN02999506	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/986/995/GCA_000986995.1_YPES001-SEQ-2-ASM-1	SRR1925409	ZE94-2122	1994	Homo sapiens	Zimbabwe	Orientalis	?	?	83	4827235	4,649	?	85	?	17 (5S, 16S, 23S)	2015/05/01 00:00	2015-04-13 11:32:02	?
SAMN10228585	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/797/205/GCA_003797205.1_ASM379720v1	SRR8283301;SRR8283302	FDAARGOS_605	1969	UCC strain	Bolivia: La Paz	?	?	?	4	4863479	?	4,692	?	226	7, 6, 6 (5S, 16S, 23S)	2018/11/19 00:00	2018-12-05 17:12:11;2018-12-05 17:15:11	?
SAMN10228584	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/085/GCA_003798085.1_ASM379808v1	SRR8283300;SRR8283299	FDAARGOS_604	1957	Rat	Indonesia: Java	?	?	?	5	4873732	?	4,708	?	223	7, 6, 6 (5S, 16S, 23S)	2018/11/19 00:00	2018-12-05 17:12:11	?
SAMN10228583	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/205/GCA_003798205.1_ASM379820v1	SRR8072961;SRR8072962	FDAARGOS_603	Unknown	UCC strain	Japan	?	?	?	5	4929654	?	?	?	?	?	2018/11/20 00:00	2018-10-19 04:00:12	?
SAMN10228582	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/345/GCA_003798345.1_ASM379834v1	SRR8283297;SRR8283298	FDAARGOS_602	1984	UCC strain	USSR	?	?	?	3	4784489	?	?	?	?	?	2018/11/20 00:00	2018-12-05 17:12:11	?
SAMN10228581	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/225/GCA_003798225.1_ASM379822v1	SRR8072959;SRR8072960	FDAARGOS_601	1954	UCC strain	Democratic Republic of the Congo	?	?	?	4	4930959	?	?	?	?	?	2018/11/20 00:00	2018-10-19 04:00:12	?
SAMEA104281628	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/460/465/GCA_900460465.1_57940_B01	ERR2246667	NCTC5923	1900/1939	not available	?	?	?	?	12	4777134	?	?	?	?	?	2018/06/29 00:00	2018-01-26 11:18:48	?
SAMEA1705942	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/065/GCA_000009065.1_ASM906v1	?	?	?	?	?	?	?	?	4	4829855	?	?	?	?	?	2003/05/06 00:00	?	?
SAMEA104210777	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/460/545/GCA_900460545.1_57572_B01	ERR2237803	NCTC144	1920	Guinea-pig	?	?	?	?	5	4858623	?	?	?	?	?	2018/08/01 00:00	2018-01-10 11:42:40	?
SAMEA4368873	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/105/GCA_900095105.1_PRJEB15052	?	Algeria3	?	?	?	?	?	?	561	4427555	?	?	?	?	?	2016/09/07 00:00	?	?
SAMEA3673143	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/487/065/GCA_001487065.1_Yersinia_pestis	?	Algeria 3	?	?	?	?	?	?	87	4637400	?	?	?	?	?	2015/12/15 00:00	?	?
SAMN06209181	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/595/GCA_004023595.1_ASM402359v1	?	2514	2005-05	Rhombomys opimus	China: Alashankou, Xinjiang	?	?	?	440	4629574	?	4,415	?	91	1, 2 (16S, 23S)	2019/01/14 00:00	?	?
SAMN06209180	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/585/GCA_004023585.1_ASM402358v1	?	2513	2005-05	Rhombomys opimus	China: Alashankou, Xinjiang	?	?	?	393	4537723	?	4,369	?	112	2, 2 (16S, 23S)	2019/01/14 00:00	?	?
SAMN07176224	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/985/GCA_009295985.1_ASM929598v1	SRR10259782;SRR5641454	SCPM-O-B-6530	27-Jul-2000	missing	missing	Medievalis	?	?	5	4783760	?	?	?	?	?	2019/10/24 00:00	2019-10-12 04:42:38;2018-06-02 00:12:01	?
SAMN05521439	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/835/GCA_002188835.1_ASM218883v1	SRR4017229	SCPM-O-DNA-14	28-May-1983	missing	missing	?	?	?	185	4667715	?	4,550	?	132	7, 3, 6 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521438	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/855/GCA_002188855.1_ASM218885v1	SRR4017228	SCPM-O-DNA-13	14-Sep-1971	missing	missing	?	?	?	197	4590539	?	4,492	?	112	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521437	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/845/GCA_002188845.1_ASM218884v1	SRR4017227	SCPM-O-DNA-12	02-Jun-1982	missing	missing	Xilingolensis	?	?	180	4642684	?	4,521	?	138	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/815/GCA_002188815.1_ASM218881v1	SRR4017224	SCPM-O-DNA-11	19-May-1984	missing	missing	Xilingolensis	?	?	195	4643289	?	4,526	?	140	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521435	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/755/GCA_002188755.1_ASM218875v1	SRR4017222	SCPM-O-DNA-10	Jun-1977	missing	missing	Altaica	?	?	184	4637667	?	4,464	?	134	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521434	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/775/GCA_002188775.1_ASM218877v1	SRR4017215	SCPM-O-DNA-09	15-Oct-2007	missing	missing	Altaica	?	?	179	4650126	?	4,475	?	136	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521433	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/725/GCA_002188725.1_ASM218872v1	SRR4017214	SCPM-O-DNA-08	12-Oct-2007	missing	missing	Altaica	?	?	198	4652539	?	4,511	?	152	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521432	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/765/GCA_002188765.1_ASM218876v1	SRR4017197	SCPM-O-DNA-07	06-Sep-2007	missing	missing	Altaica	?	?	182	4612130	?	4,469	?	142	8, 2, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/685/GCA_002188685.1_ASM218868v1	SRR4017195	SCPM-O-DNA-06	23-Sep-2007	missing	missing	Altaica	?	?	172	4647570	?	4,487	?	147	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	?
SAMN05521430	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/795/GCA_002173795.1_ASM217379v1	SRR4017193	SCPM-O-DNA-05	28-Apr-2007	missing	missing	Altaica	?	?	187	4650263	?	4,465	?	153	8, 3, 1 (5S, 16S, 23S)	2017/06/06 00:00	2017-08-10 00:00:56	?
SAMN05521429	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/475/GCA_001972475.1_ASM197247v1	SRR4017192	SCPM-O-DNA-04	04-Oct-2001	missing	missing	Altaica	?	?	167	4646075	?	4,268	?	124	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:56	?
SAMN05521428	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/805/GCA_002173805.1_ASM217380v1	SRR4017191	SCPM-O-DNA-03	04-Oct-2001	missing	missing	Altaica	?	?	211	4651412	?	4,477	?	157	8, 3, 1 (5S, 16S, 23S)	2017/06/06 00:00	2017-08-10 00:00:56	?
SAMN05521427	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/515/GCA_001972515.1_ASM197251v1	SRR4017184	SCPM-O-DNA-02	05-Oct-2001	missing	missing	Altaica	?	?	167	4646108	?	4,255	?	111	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:55	?
SAMN05521426	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/815/GCA_002173815.1_ASM217381v1	SRR4017182	SCPM-O-DNA-01	05-Oct-2001	missing	missing	Altaica	?	?	181	4641984	?	4,449	?	155	8, 3, 1 (5S, 16S, 23S)	2017/06/06 00:00	2017-08-10 00:00:55	?
SAMN05521425	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/505/GCA_001972505.1_ASM197250v1	SRR4017181	SCPM-O-B-4664	06-Sep-1980	missing	missing	Talassica	?	?	190	4673139	?	4,304	?	144	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:55	?
SAMN05521424	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/415/GCA_001972415.1_ASM197241v1	SRR4017180	SCPM-O-B-6983	16-Jun-1969	missing	missing	Caucasica	?	?	171	4610749	?	4,267	?	136	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:55	?
SAMN05521423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/405/GCA_001972405.1_ASM197240v1	SRR4017171	SCPM-O-B-6992	31-Jul-1995	missing	missing	Caucasica	?	?	166	4503787	?	4,164	?	153	8, 2, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	?
SAMN05521422	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/385/GCA_001972385.1_ASM197238v1	SRR4017166	SCPM-O-B-7040	31-Jul-1988	missing	missing	Caucasica	?	?	186	4564996	?	4,244	?	145	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	?
SAMN05521421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/395/GCA_001972395.1_ASM197239v1	SRR4017165	SCPM-O-B-6176	28-Aug-1984	missing	missing	Caucasica	?	?	176	4562336	?	4,234	?	127	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	?
SAMN05521420	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/465/GCA_001972465.1_ASM197246v1	SRR4017164	SCPM-O-B-7037	12-Jun-1978	missing	missing	Caucasica	?	?	176	4558520	?	4,235	?	164	7, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	?
SAMN04993042	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/355/GCA_002127355.1_ASM212735v1	SRR3529526	SCPM-O-B-7042	10-Jun-1996	?	missing	Caucasica	?	?	182	4567750	?	4,456	?	166	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2017-05-17 00:01:30	?
SAMN04992974	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/375/GCA_002127375.1_ASM212737v1	SRR10259783;SRR3529496	SCPM-O-B-6994	08-Jun-1998	?	missing	Caucasica	?	?	188	4558616	?	4,451	?	166	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2019-10-12 04:22:12;2017-05-17 00:01:30	?
SAMN04992971	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/165/475/GCA_002165475.1_ASM216547v1	SRR3529493	SCPM-O-B-7005	25-Jun-2010	?	missing	Caucasica	?	?	190	4569487	?	4,466	?	167	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2017-05-17 00:01:30	?
SAMN04992968	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/365/GCA_002127365.1_ASM212736v1	SRR3501107	SCPM-O-B-7111	12-Jun-1997	missing	missing	Caucasica	?	?	191	4567036	?	4,466	?	166	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2016-05-16 05:00:26	?
SAMN03893400	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/895/GCA_001294895.1_ASM129489v1	SRR2124208;SRR2124209	SCPM-O-B-6906	27-Jun-1974	?	missing	Ulegeica	?	?	341	4520537	4,212	?	422	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	?
SAMN03861513	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/055/GCA_001295055.1_ASM129505v1	SRR2124207	SCPM-O-B-6540	10-Feb-1989	?	missing	Caucasica	?	?	183	4559559	4,247	?	303	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03861512	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/915/GCA_001294915.1_ASM129491v1	SRR2124186	SCPM-O-B-6536	25-Oct-1976	?	missing	Caucasica	?	?	204	4560069	4,243	?	234	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03861510	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/025/GCA_001295025.1_ASM129502v1	SRR2511857	SCPM-O-B-6213	22-Aug-1972	?	missing	Ulegeica	?	?	189	4636905	4,288	?	228	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-25 00:00:00	?
SAMN03861503	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/905/GCA_001294905.1_ASM129490v1	SRR2124185	SCPM-O-B-6300	19-Aug-1971	?	missing	Caucasica	?	?	202	4559661	4,250	?	278	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03861500	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/985/GCA_001294985.1_ASM129498v1	SRR2124169;SRR2124170	SCPM-O-B-7832	09-Nov-1978	?	missing	Caucasica	?	?	205	4557841	4,265	?	326	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	?
SAMN03861486	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/115/GCA_001295115.1_ASM129511v1	SRR2124168	SCPM-O-B-7075	27-Jun-1961	?	missing	Altaica	?	?	229	4595298	4,263	?	260	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
