BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN07722907	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/905/GCA_009669905.1_ASM966990v1		42085	07-Jul-2001	missing	China: Xinjiang Guertu				241	4603679		4,362		141	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722906	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/955/GCA_009669955.1_ASM966995v1		42084	08-Jun-2000	missing	China: Xinjiang Guertu				232	4628680		4,373		138	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722905	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/925/GCA_009669925.1_ASM966992v1		42083	06-Aug-1999	missing	China: Xinjiang Guertu				212	4622077		4,406		166	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722904	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/935/GCA_009669935.1_ASM966993v1		42081	15-Aug-1995	missing	China: Xinjiang Guertu				229	4605284		4,351		134	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722903	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/975/GCA_009669975.1_ASM966997v1		42080	02-Jul-1995	missing	China: Xinjiang Guertu				220	4621402		4,413		165	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722902	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/005/GCA_009670005.1_ASM967000v1		42079	05-Jul-1995	missing	China: Xinjiang Guertu				221	4621934		4,418		166	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722901	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/045/GCA_009670045.1_ASM967004v1		42078	24-Jun-1995	missing	China: Xinjiang Guertu				218	4622980		4,419		164	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722900	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/015/GCA_009670015.1_ASM967001v1		42077	19-Jul-1994	missing	China: Xinjiang Guertu				222	4617515		4,379		137	2, 2, 5 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722899	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/055/GCA_009670055.1_ASM967005v1		42075	06-Aug-1993	missing	China: Xinjiang Guertu				209	4615848		4,369		141	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722898	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/075/GCA_009670075.1_ASM967007v1		42074	06-Aug-1993	missing	China: Xinjiang Guertu				212	4608546		4,357		139	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722897	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/115/GCA_009670115.1_ASM967011v1		42072	17-Jul-1992	missing	China: Xinjiang Guertu				234	4582026		4,349		139	2, 1, 5 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722896	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/895/GCA_009667895.1_ASM966789v1		42071	13-Jul-1991	missing	China: Xinjiang Guertu				217	4623213		4,413		166	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722895	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/135/GCA_009670135.1_ASM967013v1		42070	11-Jul-1991	missing	China: Xinjiang Guertu				218	4532984		4,258		135	2, 1, 2 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722894	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/155/GCA_009670155.1_ASM967015v1		42069	03-Jul-1991	missing	China: Xinjiang Guertu				216	4488004		4,221		136	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722893	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/105/GCA_009670105.1_ASM967010v1		42068	28-Jul-1989	missing	China: Xinjiang Guertu				218	4607992		4,362		143	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722892	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/185/GCA_009670185.1_ASM967018v1		42065	14-Jul-1988	missing	China: Xinjiang Guertu				218	4621733		4,409		167	2, 2, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722891	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/205/GCA_009670205.1_ASM967020v1		42064	30-Jun-1988	missing	China: Xinjiang Guertu				218	4612634		4,380		139	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722890	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/225/GCA_009670225.1_ASM967022v1		42063	03-Aug-1987	missing	China: Xinjiang Guertu				223	4609219		4,355		139	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722889	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/235/GCA_009670235.1_ASM967023v1		42062	21-Jul-1987	missing	China: Xinjiang Guertu				246	4604109		4,358		140	2, 1, 2 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722888	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/245/GCA_009670245.1_ASM967024v1		42061	19-Jul-1987	missing	China: Xinjiang Guertu				235	4581667		4,334		140	2, 1, 2 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722887	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/925/GCA_009667925.1_ASM966792v1		42060	10-Jul-1987	missing	China: Xinjiang Guertu				207	4621323		4,415		169	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722886	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/285/GCA_009670285.1_ASM967028v1		42059	10-Jul-1987	missing	China: Xinjiang Guertu				224	4613333		4,357		143	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722885	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/305/GCA_009670305.1_ASM967030v1		42058	10-Jul-1987	missing	China: Xinjiang Guertu				230	4609031		4,366		141	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722884	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/345/GCA_009670345.1_ASM967034v1		42057	13-Apr-1987	missing	China: Xinjiang Guertu				229	4610300		4,368		142	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722883	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/935/GCA_009667935.1_ASM966793v1		42056	17-Aug-1986	missing	China: Xinjiang Guertu				216	4622112		4,410		171	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722882	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/355/GCA_009670355.1_ASM967035v1		42055	24-Aug-1986	missing	China: Xinjiang Guertu				215	4506892		4,325		162	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722881	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/325/GCA_009670325.1_ASM967032v1		42054	24-Aug-1986	missing	China: Xinjiang Guertu				218	4623014		4,409		174	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722880	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/885/GCA_009667885.1_ASM966788v1		42053	13-Jul-1986	missing	China: Xinjiang Guertu				231	4606626		4,355		143	2, 2, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722879	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/385/GCA_009670385.1_ASM967038v1		42052	10-Jul-1986	missing	China: Xinjiang Guertu				238	4625507		4,374		143	2, 2, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722878	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/945/GCA_009667945.1_ASM966794v1		42051	08-Jun-1986	missing	China: Xinjiang Guertu				221	4650481		4,386		142	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722877	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/415/GCA_009670415.1_ASM967041v1		42050	06-Jun-1986	missing	China: Xinjiang Guertu				229	4624562		4,384		144	3, 1, 5 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722876	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/667/985/GCA_009667985.1_ASM966798v1		42049	06-Jun-1986	missing	China: Xinjiang Guertu				222	4607531		4,354		141	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722875	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/395/GCA_009670395.1_ASM967039v1		42047	02-Aug-1984	missing	China: Xinjiang Guertu				219	4607986		4,357		137	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722874	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/445/GCA_009670445.1_ASM967044v1		42046	19-Jul-1984	missing	China: Xinjiang Guertu				208	4617965		4,394		159	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722873	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/465/GCA_009670465.1_ASM967046v1		42045	25-Jun-1984	missing	China: Xinjiang Guertu				214	4584589		4,365		157	2, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722872	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/485/GCA_009670485.1_ASM967048v1		42044	28-May-1984	missing	China: Xinjiang Guertu				200	4618658		4,378		152	3, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722871	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/475/GCA_009670475.1_ASM967047v1		42043	16-Jul-1983	missing	China: Xinjiang Guertu				207	4617505		4,401		165	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722870	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/515/GCA_009670515.1_ASM967051v1		42042	28-Jun-1983	missing	China: Xinjiang Guertu				204	4617610		4,381		157	3, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722869	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/545/GCA_009670545.1_ASM967054v1		42040	20-Jun-1983	missing	China: Xinjiang Guertu				225	4615662		4,386		159	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722868	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/565/GCA_009670565.1_ASM967056v1		42039	29-May-1983	missing	China: Xinjiang Guertu				209	4621672		4,407		167	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722867	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/575/GCA_009670575.1_ASM967057v1		42038	23-May-1983	missing	China: Xinjiang Guertu				212	4622647		4,415		166	3, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722866	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/625/GCA_009670625.1_ASM967062v1		42037	23-May-1983	missing	China: Xinjiang Guertu				218	4608741		4,356		140	2, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722865	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/585/GCA_009670585.1_ASM967058v1		42034	18-Jul-1982	missing	China: Xinjiang Guertu				228	4625147		4,381		144	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722864	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/605/GCA_009670605.1_ASM967060v1		42033	20-Jul-1982	missing	China: Xinjiang Guertu				215	4621687		4,409		165	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722863	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/665/GCA_009670665.1_ASM967066v1		42032	01-Aug-1981	missing	China: Xinjiang Guertu				220	4546575		4,310		137	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722862	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/675/GCA_009670675.1_ASM967067v1		42029	15-Jun-1980	missing	China: Xinjiang Guertu				205	4621967		4,404		164	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722861	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/725/GCA_009670725.1_ASM967072v1		42028	03-Aug-1974	missing	China: Xinjiang Guertu				207	4623983		4,408		169	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722860	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/705/GCA_009670705.1_ASM967070v1		42027	21-Jul-1972	missing	China: Xinjiang Guertu				212	4622814		4,407		167	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722859	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/715/GCA_009670715.1_ASM967071v1		42022	07-Aug-1977	missing	China: Xinjiang Guertu				209	4490014		4,311		165	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722858	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/775/GCA_009670775.1_ASM967077v1		42021	05-Aug-1977	missing	China: Xinjiang Guertu				209	4621490		4,411		164	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722857	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/765/GCA_009670765.1_ASM967076v1		42020	03-Aug-1977	missing	China: Xinjiang Guertu				227	4622753		4,419		168	3, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722856	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/785/GCA_009670785.1_ASM967078v1		42016	09-Jul-1976	missing	China: Xinjiang Guertu				242	4604140		4,361		139	2, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722855	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/835/GCA_009670835.1_ASM967083v1		42015	12-Jul-1976	missing	China: Xinjiang Guertu				224	4619578		4,416		167	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722854	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/815/GCA_009670815.1_ASM967081v1		42014	21-Jul-1972	missing	China: Xinjiang Guertu				211	4623017		4,409		167	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722853	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/865/GCA_009670865.1_ASM967086v1		42012	31-Jul-1971	missing	China: Xinjiang Guertu				226	4606183		4,352		136	2, 1, 2 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722852	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/875/GCA_009670875.1_ASM967087v1		42010	08-Sep-1969	missing	China: Xinjiang Guertu				217	4603258		4,396		165	2, 2, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722851	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/895/GCA_009670895.1_ASM967089v1		42009	04-Sep-1969	missing	China: Xinjiang Guertu				206	4625104		4,408		166	3, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722850	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/905/GCA_009670905.1_ASM967090v1		42008	25-Jul-1968	missing	China: Xinjiang Guertu				208	4621019		4,408		167	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722849	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/935/GCA_009670935.1_ASM967093v1		42005	01-Aug-1967	missing	China: Xinjiang Guertu				234	4605859		4,352		136	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN07722848	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/670/995/GCA_009670995.1_ASM967099v1		42003	31-Jul-1967	missing	China: Xinjiang Guertu				209	4623424		4,410		169	3, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00		
SAMN12421884			PAN259					The Cyclic AMP Receptor Protein Regulates Quorum Sensing and Global Gene Expression in Yersinia pestis during Planktonic Growth and Growth in Biofilms.	Ritzert;Minasov;Embry;Schipma;Satchell										
SAMN12421883			PAN259					The Cyclic AMP Receptor Protein Regulates Quorum Sensing and Global Gene Expression in Yersinia pestis during Planktonic Growth and Growth in Biofilms.	Ritzert;Minasov;Embry;Schipma;Satchell										
SAMN12421880			PAN933					The Cyclic AMP Receptor Protein Regulates Quorum Sensing and Global Gene Expression in Yersinia pestis during Planktonic Growth and Growth in Biofilms.	Ritzert;Minasov;Embry;Schipma;Satchell										
SAMN12421879			PAN933					The Cyclic AMP Receptor Protein Regulates Quorum Sensing and Global Gene Expression in Yersinia pestis during Planktonic Growth and Growth in Biofilms.	Ritzert;Minasov;Embry;Schipma;Satchell										
SAMN12421809			PAN259					The Cyclic AMP Receptor Protein Regulates Quorum Sensing and Global Gene Expression in Yersinia pestis during Planktonic Growth and Growth in Biofilms.	Ritzert;Minasov;Embry;Schipma;Satchell										
SAMN12421808			PAN259					The Cyclic AMP Receptor Protein Regulates Quorum Sensing and Global Gene Expression in Yersinia pestis during Planktonic Growth and Growth in Biofilms.	Ritzert;Minasov;Embry;Schipma;Satchell										
SAMN12991209	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/296/005/GCA_009296005.1_ASM929600v1	SRR10259774;SRR10259775	SCPM-O-B-6291 (C-25)	03-Jul-1953	Neopsylla setosa	Russia: Chechnya				3	4614086						2019/10/24 00:00	2019-10-12 05:14:12;2019-10-12 04:20:11	
SAMN12991208	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/965/GCA_009295965.1_ASM929596v1	SRR10259776;SRR10259777	SCPM-O-B-5935 (I-1996)	1970	Spermophilus sp.	Russia: Chita region				4	4807288						2019/10/24 00:00	2019-10-12 04:23:12;2019-10-12 04:18:12	
SAMN12991207	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/363/195/GCA_009363195.1_ASM936319v1	SRR10259778;SRR10259779	SCPM-O-B-5942 (I-2638)	26-Aug-1977	Urocitellus undulatus	Russia: Tuva				5	4848320						2019/10/27 00:00	2019-10-12 06:02:14;2019-10-12 04:19:12	
SAMN12991206	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/945/GCA_009295945.1_ASM929594v1	SRR10259780;SRR10259781	SCPM-O-DNA-18 (I-3113)	22-Aug-1984	Marmota sibirica	Russia: Tuva				5	4759144						2019/10/24 00:00	2019-10-12 05:13:12;2019-10-12 04:18:12	
SAMN12991205	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/925/GCA_009295925.1_ASM929592v1	SRR10259784;SRR10259785	SCPM-O-B-6899 (231)	02-Jul-1947	Marmota baibacina	Kyrgyzstan				4	4806721						2019/10/24 00:00	2019-10-12 05:56:19;2019-10-12 04:19:12	
SAMEA5970710		ERR3549716;ERR3549715;ERR3549714;ERR3549713	KIM6															2019-10-06 08:53:52;2019-10-06 08:53:52;2019-10-06 08:53:52;2019-10-06 08:53:52	
SAMEA5970709		ERR3549712;ERR3549711;ERR3549710;ERR3549709	KIM6															2019-10-06 08:53:52;2019-10-06 08:53:52;2019-10-06 08:53:51;2019-10-06 08:53:51	
SAMEA5970708		ERR3549705;ERR3549708;ERR3549707;ERR3549706	KIM6															2019-10-06 08:53:51;2019-10-06 08:53:51;2019-10-06 08:53:51;2019-10-06 08:53:51	
SAMEA5970707		ERR3549704;ERR3549703;ERR3549702;ERR3549701	KIM6															2019-10-06 08:53:51;2019-10-06 08:53:51;2019-10-06 08:53:51;2019-10-06 08:53:51	
SAMEA5970605			KIM6																
SAMEA5970604			KIM6																
SAMEA5970603			KIM6																
SAMEA5970602			KIM6																
SAMN01853158		SRR651089	154/98 B	1998	Homo sapiens	Madagascar: Mahajanga												2015-07-22 17:10:47	
SAMN12721152	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/485/GCA_008630485.1_ASM863048v1		C-742	14-May-1997	Microtus arvalis	Russia				262	4422732		4,158		317	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00		
SAMN12721149	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/455/GCA_008630455.1_ASM863045v1		C-826	01-July-2011	Microtus arvalis	Russia				231	4498156		4,260		210	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00		
SAMN12721146	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/435/GCA_008630435.1_ASM863043v1		C-719	25-Apr-1996	Siphonaptera	Russia				233	4450844		4,220		372	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00		
SAMN12720423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/415/GCA_008630415.1_ASM863041v1		C-672	31-Jul-1988	unknown	Russia				224	4492556		4,254		437	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00		
SAMN12715009	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/395/GCA_008630395.1_ASM863039v1		C-528	09-Apr-1984	Gerbillinae	Russia				291	4542764		4,280		302	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00		
SAMN12714845	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/575/GCA_008630575.1_ASM863057v1		C-527	14-Nov-1984	Meriones libycus	Azerbaijan				227	4570871		4,316		328	2, 1, 1 (5S, 16S, 23S)	2019/09/20 00:00		
SAMN12714485	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/375/GCA_008630375.1_ASM863037v1		C-506	May-1982	Spermophilus musicus	Russia				381	4468260		4,359		1,527	3, 1 (5S, 16S)	2019/09/20 00:00		
SAMEA5851981	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/387/395/GCA_902387395.1_UHGG_MGYG-HGUT-02476					Russia				3	4935125						2019/08/16 00:00		REMOVE: Long branch length from hybrid lab strain
SAMN03399931		SRR1910312	Yersinia pestis KIM6dCsrA	2014		not applicable												2015-03-23 12:34:15	
SAMN03399930		SRR1910290	Yersinia pestis CO92dCsrA-P+	2014		not applicable												2015-03-12 00:00:00	
SAMN03399929		SRR1910280	Yersinia pestis CO92dCsrA	2014		not applicable												2015-03-12 00:00:00	
SAMN01853157		SRR651085	64/91	1991	Homo sapiens	Madagascar: Mahajanga												2015-07-22 17:10:47	
SAMN01853130		SRR651088	53/91	1991	flea	Madagascar: Mahajanga												2015-07-22 17:10:47	
SAMEA5818833		ERR3457843;ERR3457842;ERR3457841;ERR3457840;ERR3457839;ERR3457838																2019-08-06 17:59:37	
SAMEA5818832		ERR3457837;ERR3457836;ERR3457835;ERR3457834;ERR3457833;ERR3457832;ERR3457831;ERR3457830;ERR3457829;ERR3457828;ERR3457827;ERR3457826																2019-08-06 17:59:36	
SAMEA5818831		ERR3457825;ERR3457824;ERR3457823;ERR3457822;ERR3457821;ERR3457820;ERR3457819;ERR3457818;ERR3457817;ERR3457816;ERR3457815;ERR3457814																2019-08-06 17:59:36	
SAMEA5818830		ERR3457813;ERR3457812;ERR3457811;ERR3457810;ERR3457809;ERR3457808;ERR3457807;ERR3457806;ERR3457805;ERR3457804;ERR3457803;ERR3457802																2019-08-06 17:59:36	
SAMEA5818829		ERR3457801;ERR3457800;ERR3457799;ERR3457798;ERR3457797;ERR3457796;ERR3457795;ERR3457794;ERR3457793;ERR3457792;ERR3457791;ERR3457790																2019-08-06 17:59:36	
SAMEA5818828		ERR3457789;ERR3457788;ERR3457787;ERR3457786;ERR3457785;ERR3457784;ERR3457783;ERR3457782;ERR3457781;ERR3457780;ERR3457779;ERR3457778																2019-08-06 17:59:36	
SAMEA5818827		ERR3457777;ERR3457776;ERR3457775;ERR3457774;ERR3457773;ERR3457772;ERR3457771;ERR3457770;ERR3457769;ERR3457768;ERR3457767;ERR3457766																2019-08-06 17:59:36;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35	
SAMEA5818826		ERR3457765;ERR3457764;ERR3457763;ERR3457762;ERR3457761;ERR3457760;ERR3457759;ERR3457758;ERR3457757;ERR3457756;ERR3457755;ERR3457754																2019-08-06 17:59:35	
SAMEA5818825		ERR3457748;ERR3457747;ERR3457746;ERR3457745;ERR3457744;ERR3457743;ERR3457753;ERR3457752;ERR3457751;ERR3457750;ERR3457749;ERR3457742																2019-08-06 17:59:35	
SAMEA5818824		ERR3457741;ERR3457740;ERR3457739;ERR3457738;ERR3457737;ERR3457736;ERR3457735;ERR3457734;ERR3457733;ERR3457732;ERR3457731;ERR3457730																2019-08-06 17:59:35	
SAMEA5818823		ERR3457729;ERR3457728;ERR3457727;ERR3457726;ERR3457725;ERR3457724;ERR3457723;ERR3457722;ERR3457721;ERR3457720;ERR3457719;ERR3457718																2019-08-06 17:59:35	
SAMEA5818822		ERR3457717;ERR3457716;ERR3457715;ERR3457714;ERR3457713;ERR3457712;ERR3457711;ERR3457710;ERR3457709;ERR3457708;ERR3457707;ERR3457706																2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:35;2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:34	
SAMEA5818821		ERR3457705;ERR3457704;ERR3457703;ERR3457702;ERR3457701;ERR3457700;ERR3457699;ERR3457698;ERR3457697;ERR3457696;ERR3457695;ERR3457694																2019-08-06 17:59:34	
SAMEA5818820		ERR3457693;ERR3457692;ERR3457691;ERR3457690;ERR3457689;ERR3457688;ERR3457687;ERR3457686;ERR3457685;ERR3457684;ERR3457683;ERR3457682																2019-08-06 17:59:34	
SAMEA5818819		ERR3457681;ERR3457680;ERR3457679;ERR3457678;ERR3457677;ERR3457676;ERR3457675;ERR3457674;ERR3457673;ERR3457672;ERR3457671;ERR3457670																2019-08-06 17:59:34	
SAMEA5818818		ERR3457669;ERR3457668;ERR3457667;ERR3457666;ERR3457665;ERR3457664;ERR3457663;ERR3457662;ERR3457661;ERR3457660;ERR3457659;ERR3457658																2019-08-06 17:59:34	
SAMEA5818817		ERR3457869;ERR3457657																2019-08-06 17:59:37;2019-08-06 17:59:34	
SAMEA5818816		ERR3457868																2019-08-06 16:34:18	
SAMEA5818815		ERR3457867;ERR3457656																2019-08-06 16:34:18;2019-08-06 17:59:34	
SAMEA5818814		ERR3457655;ERR3457654;ERR3457653;ERR3457652;ERR3457651;ERR3457650;ERR3457649;ERR3457648;ERR3457647;ERR3457646;ERR3457645;ERR3457644																2019-08-06 17:59:34	
